composite_ID,theta_common,theta_congruent,theta_incongruent,se_common,se_congruent,se_incongruent
A010_1,2.4480083,1.9205548,2.1016583,0.20409545201651397,0.20363017221319737,0.25026694604275296
A010_2,0.41985416,0.1833282,0.06695607,0.20409545201651397,0.20363017221319737,0.25026694604275296
A010_3,-0.89684904,-0.4806884,-0.7271411,0.20409545201651397,0.20363017221319737,0.25026694604275296
A010_4,-0.4250025,0.5138787,1.0952437,0.20409545201651397,0.20363017221319737,0.25026694604275296
A011_1,0.37035823,0.91059244,0.91936076,0.20409545201651397,0.20363017221319737,0.25026694604275296
A011_2,0.9543621,-0.9722273,-0.16005266,0.20409545201651397,0.20363017221319737,0.25026694604275296
A011_3,-0.76203144,0.03657105,-0.5985974,0.20409545201651397,0.20363017221319737,0.25026694604275296
A011_4,-0.6529783,-0.5034052,-0.37250316,0.20409545201651397,0.20363017221319737,0.25026694604275296
A012_1,0.50583845,0.5842448,0.732104,0.20409545201651397,0.20363017221319737,0.25026694604275296
A012_2,-0.3411082,-0.28908128,-0.03213877,0.20409545201651397,0.20363017221319737,0.25026694604275296
A012_3,0.80133855,-0.0853041,1.0823703,0.20409545201651397,0.20363017221319737,0.25026694604275296
A012_4,-0.038663056,-1.4209801,-1.1368,0.20409545201651397,0.20363017221319737,0.25026694604275296
A013_1,-1.3924092,0.66629744,-0.091389135,0.20409545201651397,0.20363017221319737,0.25026694604275296
A013_2,-0.25438362,-1.3250228,-0.94358903,0.20409545201651397,0.20363017221319737,0.25026694604275296
A013_3,0.9135148,1.3312086,0.7456582,0.20409545201651397,0.20363017221319737,0.25026694604275296
A013_4,-0.7452892,-1.0726688,-1.2885897,0.20409545201651397,0.20363017221319737,0.25026694604275296
A014_1,0.014601076,0.6743281,0.44383055,0.20409545201651397,0.20363017221319737,0.25026694604275296
A014_2,1.2621018,-0.28292555,1.5035837,0.20409545201651397,0.20363017221319737,0.25026694604275296
A014_3,0.41218692,0.38377905,-0.3272984,0.20409545201651397,0.20363017221319737,0.25026694604275296
A014_4,-0.6022847,-0.7582106,-1.0597966,0.20409545201651397,0.20363017221319737,0.25026694604275296
A015_1,1.230602,0.6475947,1.3858006,0.20409545201651397,0.20363017221319737,0.25026694604275296
A015_2,1.0111189,1.3852575,1.1422793,0.20409545201651397,0.20363017221319737,0.25026694604275296
A015_3,2.1159668,1.4868181,1.3521106,0.20409545201651397,0.20363017221319737,0.25026694604275296
A015_4,-0.51022774,-0.4543644,0.18730238,0.20409545201651397,0.20363017221319737,0.25026694604275296
A016_1,0.9933537,1.4142246,1.4443333,0.20409545201651397,0.20363017221319737,0.25026694604275296
A016_2,0.73662007,1.3841527,1.2327269,0.20409545201651397,0.20363017221319737,0.25026694604275296
A016_3,0.3180371,-1.3170936,0.46205932,0.20409545201651397,0.20363017221319737,0.25026694604275296
A016_4,-0.77768457,-1.6490752,-0.24973944,0.20409545201651397,0.20363017221319737,0.25026694604275296
A017_1,-0.31145966,-0.70544565,-0.5146833,0.20409545201651397,0.20363017221319737,0.25026694604275296
A017_2,0.9782427,0.3355137,0.67895764,0.20409545201651397,0.20363017221319737,0.25026694604275296
A017_3,0.14504129,-0.36753055,0.6192524,0.20409545201651397,0.20363017221319737,0.25026694604275296
A017_4,0.35735184,-0.030751726,1.101619,0.20409545201651397,0.20363017221319737,0.25026694604275296
A018_1,1.142011,1.7827921,0.51048934,0.20409545201651397,0.20363017221319737,0.25026694604275296
A018_2,0.07122684,-0.2906995,0.8813672,0.20409545201651397,0.20363017221319737,0.25026694604275296
A018_3,-1.0428331,0.10597346,-0.36788592,0.20409545201651397,0.20363017221319737,0.25026694604275296
A018_4,0.5030535,-0.051232558,0.09097618,0.20409545201651397,0.20363017221319737,0.25026694604275296
A019_1,-0.8561494,-0.82375115,-0.035026006,0.20409545201651397,0.20363017221319737,0.25026694604275296
A019_2,-0.4068439,-0.68648744,-0.85330933,0.20409545201651397,0.20363017221319737,0.25026694604275296
A019_3,-0.9254674,-0.79551905,-0.1843586,0.20409545201651397,0.20363017221319737,0.25026694604275296
A019_4,-0.49666315,-0.9767209,-0.31137958,0.20409545201651397,0.20363017221319737,0.25026694604275296
A020_1,0.48066902,0.5570759,-0.21592262,0.20409545201651397,0.20363017221319737,0.25026694604275296
A020_2,0.4446814,-0.41487893,0.015018624,0.20409545201651397,0.20363017221319737,0.25026694604275296
A020_3,0.2821358,-1.7223451,-1.1768678,0.20409545201651397,0.20363017221319737,0.25026694604275296
A020_4,-1.9767965,-2.046927,-1.6566517,0.20409545201651397,0.20363017221319737,0.25026694604275296
A021_1,0.78434795,1.9359678,1.2731314,0.20409545201651397,0.20363017221319737,0.25026694604275296
A021_2,-0.09058025,0.16485931,-0.3997267,0.20409545201651397,0.20363017221319737,0.25026694604275296
A021_3,0.9444324,-0.114928916,-0.36840147,0.20409545201651397,0.20363017221319737,0.25026694604275296
A021_4,0.5578035,0.2495368,1.23852,0.20409545201651397,0.20363017221319737,0.25026694604275296
A022_1,-0.4236533,0.62929916,0.2933909,0.20409545201651397,0.20363017221319737,0.25026694604275296
A022_2,0.20327306,0.10790876,0.9038785,0.20409545201651397,0.20363017221319737,0.25026694604275296
