model,r2,adj_r2,delta_r2,f_change,p_value,aic,bic
Demographics,0.0062333982245661446,-0.024821808080916163,,,,205.17047357551158,215.59115431946395
Full_Model,0.023818016368771677,-0.039161466446146154,0.017584618144205533,0.552419151481376,0.6477964704881041,209.38513914074,227.62133044265664
