predictor,beta,se,ci_lower,ci_upper,p_uncorrected,sr_squared,vif,p_bonferroni,p_fdr
age,0.004006923085174249,0.005537705311392005,-0.006470218960712984,0.014951268089986567,0.4711452168214969,1.4546154728103098e-05,1.4526722668954446,1.0,0.8543868945674288
sex,0.04826183666794753,0.1482021009692939,-0.23523998603521268,0.28876701300643226,0.7454216451340939,3.629740394110874e-06,1.0383372551670802,1.0,0.8543868945674288
education,-0.007657283435666535,0.04160781769506159,-0.07651920420539607,0.06963035517728201,0.8543868945674288,6.871234761665928e-06,1.040570616655557,1.0,0.8543868945674288
RAVLT_T,-0.004113109063104377,0.007330669686809099,-0.018810397689815374,0.010791277118520093,0.5760908718562235,2.322619733538196e-05,1.1976582701264682,1.0,0.8543868945674288
BVMT_T,0.009205817404480728,0.008871146986152345,-0.00878119880238296,0.026121832697658526,0.3020883790828654,1.631578132015031e-06,1.7539013643972017,1.0,0.8543868945674288
RPM_T,-0.007094112332498553,0.007860046156024189,-0.02246593934583955,0.0058161136320684075,0.36909462161156004,2.6795934097614545e-05,1.376879101901524,1.0,0.8543868945674288
