UID,calibration_quality
A010,-0.7122759260749305
A011,0.03770546199343372
A012,-0.10713178614993146
A013,-0.047503288035389925
A014,-0.21691066572301285
A015,-0.6574106362553311
A016,-0.5433332618361112
A017,1.3209456478483483
A018,0.647451025367168
A019,-1.4771538107899682
A020,0.7804169736875188
A021,-0.1960673365194079
A022,-1.1378185580975446
A023,0.2577718971618346
A024,0.09806452344265361
A025,-0.7104818184824212
A026,0.005444553481471492
A027,-0.002762582874612604
A028,0.46571501446098573
A029,-0.24083634144808408
A030,-0.2712457933649393
A031,-0.16894830955026505
A032,-0.6165539497938751
A033,-0.001126634246611094
A034,0.3771752386622854
A035,0.14812453811556567
A036,-1.531143049797413
A037,-0.2199419759607538
A038,0.1702414505668179
A039,-0.02542827993880542
A040,1.142548421431504
A041,0.681911900878768
A042,0.28761506913867896
A043,0.8384539941036595
A044,-0.3540207852481823
A045,0.7252179359321691
A046,0.04079885933302435
A047,-0.017401483754953873
A048,0.01788332980597672
A049,0.19851889685740387
A050,0.8612176295381151
A051,0.5680971459738935
A052,-0.2567435183743677
A053,-1.3610335187131997
A054,0.06690478129771346
A055,-0.5176797119623452
A056,-0.3110211711239502
A057,0.743023408480462
A058,0.26143715513039073
A059,-1.0434976690643374
A060,0.31754556392782307
A061,0.6289670315499047
A062,-0.08255072912755554
A063,-1.9685843243267251
A064,0.016850147404367747
A065,1.8182752937520354
A066,0.1571845534905658
A067,0.5161424909201829
A068,0.651918013380499
A069,0.7591907109764291
A070,-0.019804470640047173
A071,-0.5569849601001683
A072,0.47214501350576304
A073,-0.8792952313697275
A074,0.4036430038272043
A075,0.3387264579090126
A076,0.5534121476853247
A077,-0.22560088789011756
A078,-0.30677608174738086
A079,0.7798661688332871
A080,-0.022634775740806523
A081,0.042564842948685934
A082,-0.33521503706118433
A083,-0.17267251044725274
A084,-1.5502420328001916
A085,0.31374258072646466
A086,0.9001017157767488
A087,0.17516330922579976
A088,-0.987815911450411
A089,-0.535091803460724
A090,-0.3970395424027562
A091,0.543812806557307
A092,0.5506985547568335
A093,-1.1022519550448489
A094,0.26937746471026125
A095,0.08685004148912603
A096,0.9351167208043052
A097,-1.0476409437448109
A098,0.11645563507880277
A099,0.3325278740526645
A100,-0.8007352022848475
A101,0.598366007072066
A102,-0.046210212555466354
A103,0.41751771479062677
A104,0.612625914247518
A105,0.3037829043424118
A106,-0.16289768531482696
A107,0.16253311057696296
A108,-0.039992666341434335
A109,-0.5322798199768026
