test,statistic,p_value,result
Shapiro_Wilk_calibration_quality,0.9771348822077798,0.07932536744916689,NORMAL
Shapiro_Wilk_RAVLT_T,0.9749867487105427,0.05382798128856522,NORMAL
Shapiro_Wilk_BVMT_T,0.9356410652203374,0.00010555527332915988,NON_NORMAL
Shapiro_Wilk_RPM_T,0.8928177038278162,6.596346653958295e-07,NON_NORMAL
Shapiro_Wilk_age,0.9554371226547183,0.0019267067978955517,NON_NORMAL
Linearity_RAVLT_T_vs_calibration_quality,-0.07649127257680008,0.44940639862558596,NON_SIGNIFICANT
Linearity_BVMT_T_vs_calibration_quality,0.020273408365530068,0.8413196502838328,NON_SIGNIFICANT
Linearity_RPM_T_vs_calibration_quality,-0.08215940416189965,0.4164246659869879,NON_SIGNIFICANT
