predictor,beta,sr_squared,f_squared,interpretation
age,0.0040069230851742,1.4546154728103098e-05,1.490106862451396e-05,negligible
sex,0.0482618366679475,3.629740394110874e-06,3.7183029957271558e-06,negligible
education,-0.0076572834356665,6.871234761665928e-06,7.038887089583564e-06,negligible
RAVLT_T,-0.0041131090631043,2.322619733538196e-05,2.379289694426086e-05,negligible
BVMT_T,0.0092058174044807,1.631578132015031e-06,1.6713872611598936e-06,negligible
RPM_T,-0.0070941123324985,2.6795934097614545e-05,2.7449732270143215e-05,negligible
