observation,cooks_d,leverage,studentized_residual,outlier_flag
0,0.016490437389476732,0.07406971609133586,-1.20415407642272,False
1,0.0006583355181319793,0.14668861770797018,0.1628708137669692,True
2,6.919363248527078e-06,0.09302662171700765,-0.021613707621640846,False
3,0.0001520609228344029,0.05735245931625803,0.13156784766900273,False
4,0.0024490532815600674,0.09828734964873072,-0.3947784033763911,False
5,0.006233888703471228,0.058469721208003284,-0.8369115374894907,False
6,0.003460733345358652,0.05006129341271539,-0.6760180205940446,False
7,0.055080879259945585,0.08255103019021472,2.1080200072558197,True
8,0.009797477066431057,0.04806013890671167,1.167793471326211,False
9,0.05652067402310407,0.07054230070762371,-2.3373375221773705,True
10,0.012788853506610241,0.04363389927488179,1.4081463451047644,False
11,0.0002898616884605475,0.06288681485266126,-0.17297514470790262,False
12,0.021315988853586397,0.053796142156355344,-1.634507707469705,False
13,0.004850557592145945,0.09612999190354521,0.5629470425196121,False
14,0.0014744483824051424,0.07399030577023806,0.3577160422654304,False
15,0.008224058447501001,0.046139174363371095,-1.0920662138195465,False
16,7.380819353600559e-06,0.057596340398717374,0.02891856632029457,False
17,1.352039263075079e-05,0.04798276843812342,0.04310029567933955,False
18,0.00352258166500825,0.05180799018217208,0.6697890826971029,False
19,0.0008582899024234142,0.053400640948814485,-0.32477092444440714,False
20,0.0013954976130257073,0.05684782293002118,-0.4007547872091524,False
21,9.323373147165681e-05,0.02817675622932538,-0.14924118907322662,False
22,0.0024649627650424276,0.024642711928698827,-0.8249825328189643,False
23,0.0005641085998087885,0.07164066184094746,0.22505081560879162,False
24,0.003944099936807536,0.04896395358361605,0.7304515001104567,False
25,0.00037729898077144694,0.04815673973331367,0.22731096170367357,False
26,0.04621110572072226,0.06164178189915803,-2.2679559521953663,True
27,0.0009652192784862137,0.06028279721144736,-0.32297016559770453,False
28,0.005700643627356502,0.10495599070795786,0.5812701329854022,False
29,0.00010366974420544799,0.06010814103822216,0.10595617335104034,False
30,0.06587153955959313,0.11261883595735626,1.9339865046278542,True
31,0.008407138348227875,0.06212022685247857,0.9420353194690926,False
32,0.0011420048501897108,0.03327771747840363,0.4799018714922339,False
33,0.007827245465047136,0.03783326275304507,1.1829662604460827,False
34,0.0022755647907892616,0.04764414525015162,-0.5621932666988994,False
35,0.013042075918837338,0.08431097613336885,0.99571339990756,False
36,0.00034321305200980703,0.06864426479994551,-0.17960364591157726,False
37,0.0012471639187564922,0.14663126522601416,-0.22425233090637983,True
38,2.6783986435327557e-05,0.055511797875930774,0.0561761715157356,False
39,0.0011834072347388488,0.06535201375538557,0.3425625806374803,False
40,0.0220828773663649,0.09842540517396288,1.1926364283697275,False
41,0.03391547862355125,0.1782239516337421,1.0468037402453103,True
42,0.000644338688895594,0.049382549721487944,-0.29320915336522696,False
43,0.010359521907190304,0.016812625299466834,-2.0965549929173504,False
44,8.903580215501197e-07,0.04571575137281669,-0.011344622466029599,False
45,0.013560103696571749,0.09827747669579968,-0.9325788032997645,False
46,0.000817624990716179,0.020538422641009663,-0.5203875931025912,False
47,0.004421550259474298,0.022756256984128215,1.1549564987383596,False
48,0.0010069835275062086,0.048855026994976514,0.36872453445529024,False
49,0.012353921139536818,0.03471409320681284,-1.5626707302742677,False
50,0.0007183447397350625,0.055451154218821526,0.2912224952908343,False
51,0.01627723120214867,0.1130396290002377,0.9449874823355134,False
52,1.1502971410551112e-09,0.04163725224797639,0.00042818397668142384,False
53,0.04780170478169735,0.04003344057396592,-2.947354051930517,True
54,2.038595530531466e-06,0.04799079010304086,-0.01673436661075405,False
55,0.09142377477386432,0.06882216594612064,3.0733000309167777,True
56,0.0025659184855038827,0.0702741746953218,0.4854650980338608,False
57,0.00864679391646016,0.0521689612563713,1.04923163842572,False
58,0.008062516656461696,0.044472069739611195,1.1024649250724765,False
59,0.01072428066401817,0.07140306391891595,0.9879440220426562,False
60,0.0005134083687960728,0.05266049997415574,-0.2529847103651791,False
61,0.0031947948261128157,0.041284776823920386,-0.7187680593391126,False
62,0.0035761164540057625,0.044130052412142504,0.7345294404586419,False
63,0.004761869329137633,0.0193452682428136,-1.3047957671526123,False
64,0.0026688191639018654,0.03975509490850805,0.6697485944444291,False
65,0.0009197320140671072,0.029232388350710785,0.4604233956181711,False
66,0.013897492514842095,0.1507156823254917,0.7385854937214159,True
67,0.0103587020542617,0.1527794116294504,-0.6320637330315324,True
68,0.0008772067341087157,0.04407734187217849,-0.3632179325790414,False
69,0.011915603948447633,0.05888629579945473,1.15666733466455,False
70,5.2119208763892275e-05,0.057729788320230804,-0.07675417699828109,False
71,0.0027337904677514602,0.11636382204401383,-0.37944723947074666,False
72,0.008982132785896664,0.1320615960979425,-0.6407880141489757,True
73,4.374255259837949e-05,0.07267392689677882,-0.06217124513195284,False
74,0.04163503311558474,0.04984136020912509,-2.4177452082695754,True
75,0.002487120080178359,0.09057930194091962,0.4162232021996535,False
76,0.0212384425618105,0.06167721292385324,1.5143381862928378,False
77,3.5649653990496e-05,0.0561281130416747,0.06443253554731784,False
78,0.013288852486805142,0.037659330494265585,-1.553444507807597,False
79,0.008906937648074792,0.086891647539299,-0.8079287222578377,False
80,0.009599398299706572,0.09364277935754932,-0.8049333751391883,False
81,0.005844509424137523,0.047756718693959296,0.9022883121889491,False
82,0.003468937300836523,0.1078081994036967,0.4463470052175136,False
83,0.03511229670829631,0.06708389657438837,-1.8735897926901903,False
84,0.0005751283923619959,0.04163166427836409,0.30293866408183134,False
85,5.779472591335777e-06,0.052975909712641864,-0.026747829981845286,False
86,0.01267572406736053,0.04730969505727515,1.3424596459827163,False
87,0.05439993221636308,0.11906086271366931,-1.6953897908813351,True
88,0.0008019312427471688,0.04990885116465387,0.32532207435632843,False
89,0.0020620658648899523,0.052050308822904706,0.5106794646758772,False
90,0.02823432744976541,0.13562563015680126,-1.123909698056948,True
91,0.011270271021855825,0.17440450427292775,0.6090419363145558,True
92,0.0008879245505090686,0.10154901876189656,-0.2333067248881847,False
93,0.001215480191227755,0.07628246076593675,0.3194282689477761,False
94,0.003751025608541051,0.04224158302655727,0.7698903989380561,False
95,0.013118122772397005,0.15519219582051458,0.7051014846895893,True
96,0.0010539327211434484,0.08460571002851802,-0.2811244521739416,False
97,0.0008325032232425216,0.06952614873279217,0.27787827745650756,False
98,0.004183635784097925,0.10613772306447687,-0.4946015235562818,False
99,0.008022136685687844,0.1159037859387173,-0.6524539941301517,False
