term,coef,se,z_wald,p_wald_uncorrected,p_wald_bonferroni,chi2_lrt,df_lrt,p_lrt_uncorrected,p_lrt_bonferroni,significant_bonferroni
Age_c,-0.007566688380151591,0.0036615958402281485,-2.066500157395886,0.03878127756021442,0.11634383268064326,4.270422900517222,1,0.03878127756021443,0.1163438326806433,False
Age_c:log_TSVR,-3.965223514703613e-05,0.0007062674047619171,-0.05614337413801917,0.9552275908429589,1.0,0.0031520784596015994,1,0.9552275908429589,1.0,False
Age_c:log_TSVR:Paradigm,,,,0.9938346344866061,1.0,0.012368899722209802,2,0.9938346344866061,1.0,False
