model,r2,adj_r2,f_statistic,p_value,delta_r2
Full_Model,0.22620945011254778,0.1925663827261368,6.723805755117259,8.58611787566409e-05,0.0
Without_NART,0.2243817358458804,0.19936179184090885,8.968115028606556,2.8106901307226808e-05,0.0018277142666673907
Episodic_Only,0.14174280550032192,0.12348201412798843,7.762139252906234,0.0007586129905826471,0.08446664461222586
