predictor,semi_partial_r,unique_r2,percent_unique_variance
RAVLT_T,0.13136831381767022,0.017257633875297884,1.7257633875297884
BVMT_T,0.10381896704091516,0.010778377917442628,1.0778377917442628
NART_T,0.0427517750118915,0.0018277142666673907,0.18277142666673907
RPM_T,0.28303783148293576,0.08011041405056274,8.011041405056273
