observation,fitted_values,residuals,studentized_residuals,cooks_d,leverage
0,0.2024567166144351,0.7683047221355649,1.3620049367974385,0.02599696352344875,0.06605054058308968
1,0.48927609013160556,-0.4174740101316057,-0.7248984801357443,0.00445656804120411,0.04047855766319068
2,0.23377548290469452,0.12114282959530548,0.20924321750007563,0.00032465149643912686,0.035391438333740304
3,0.00028821639395348875,-0.16535136639395348,-0.2827978209899096,0.00025894842746497347,0.015774687635488116
4,0.18502469969494084,0.43187630780505915,0.760240013309973,0.008185961230185706,0.0658503172179351
5,0.287847523289801,1.271650491710199,2.2551596258385893,0.0345775861658933,0.03428698669769659
6,0.37846072718142,-0.26520290568142,-0.45777959079600666,0.0014159601176871963,0.03240805448401239
7,-0.1034779735002711,0.4388109510002711,0.7956205618877985,0.01716013771471608,0.11894493750943512
8,0.3380936109520858,-0.4426210582020858,-0.7668506964986346,0.004351951389885888,0.03552818176763513
9,-0.1548423844854654,-0.9753470455145345,-1.706512316131613,0.01783926851501754,0.030317397041585384
10,0.2691599740349704,-1.1821686352849703,-2.151566076290967,0.08537580203844178,0.08746748405091401
11,-0.15362234470221192,0.26855745480221194,0.470597995704063,0.002900397115673005,0.06096997338287173
12,-0.25499507306588187,0.3884707228158819,0.6822743965437236,0.006267610688100997,0.06273172955777243
13,0.24196544165711664,-0.2870970241571165,-0.49688225095800975,0.0019187627363539466,0.03711002368398958
14,0.10369847069406357,0.24314420430593642,0.4236309812832821,0.0019294416591077012,0.050581656753541496
15,-0.00862779089075727,0.41549832389075725,0.7157559153514956,0.0026675587791907575,0.02524306685598005
16,0.37463191795735473,-0.43250759295735464,-0.7524537827400728,0.005205430546556284,0.04375074104487794
17,0.047564740686682594,0.08101871931331742,0.14019394408617583,0.0001618890126625321,0.0391500046279122
18,0.2628351401755823,0.7602761848244176,1.3332064893345317,0.017124839739835782,0.04632919208829092
19,0.1318156163334454,0.30353345866655457,0.5252747244238193,0.0021133323410157407,0.03660476729169722
20,0.14400964185458243,0.2703500226454176,0.463657386653012,0.0008741423683048041,0.019759180269316105
21,0.23006598615646223,0.4937796963435377,0.8479392643272328,0.002477291611884056,0.016884709141908656
22,0.25142852876036526,0.12375239623963474,0.21383441566561073,0.0003463595771948382,0.03612713186746418
23,0.4939494056959348,0.11531165930406517,0.20015449850118355,0.0003804907879563998,0.04488328173189132
24,0.41584153869356744,-0.6178430061935674,-1.0847891573307047,0.013635249615262792,0.05486195956753121
25,0.26799758865624823,-0.3258926211562481,-0.5666427182595561,0.0030630372946272174,0.0452060492674293
26,0.43708962715626576,0.20290232034373423,0.3576448309097227,0.0020306190470937425,0.07289333802108289
27,0.3404507252626998,0.15623545273730016,0.2749242622465396,0.0011546479317498218,0.07029926107450851
28,0.36328410811219647,0.8287426018878035,1.4412053279813082,0.011466284078741713,0.027166542633141888
29,-0.1473600235819832,-0.7676532189180169,-1.3843458361713386,0.04071397393724668,0.09688810740766393
30,-0.17596830397108776,-0.6503368435289123,-1.125996079443311,0.00704669215286945,0.027114763089327053
31,0.03009151821261913,0.42083205428738085,0.7225981359886684,0.002011146857888945,0.018798223908243865
32,0.191641247073568,-1.083497512073568,-1.8989621428775034,0.019067703646388712,0.026467762993073046
33,-0.3443723504944729,-0.7276224995055272,-1.2797436711103762,0.01835385880480774,0.05340893904769718
34,-0.3182188891861226,-0.8945434358138773,-1.594020344632339,0.03694983517007636,0.06883881338234701
35,-0.9315685338327154,-0.09452179116728454,-0.17205251416670414,0.00090655827766426,0.13157432675061373
36,0.3245051427709037,-0.010700042770903806,-0.018385848780950086,1.8090625581261006e-06,0.025784946584334667
37,0.1658028083024332,0.3295260881975668,0.571886847146548,0.002856926929552116,0.04155540845255007
38,-0.01669843716734598,-0.7775083728326541,-1.3606372082987013,0.015946378508040353,0.04165522497922747
39,-0.0551186104132817,0.0159450129132818,0.027838064682515033,9.351590396557348e-06,0.05631960467096918
40,0.24942564070815054,-0.18598806970815054,-0.318920934352412,0.0004331080172852471,0.020647985986168405
41,0.10424926168170223,0.3540553458182977,0.6065257452273943,0.001195872920417681,0.01588575152960436
42,0.16203280064842662,0.8575743068515733,1.4994795461564723,0.016531251810114504,0.035922004782955
43,-0.47426953932349636,0.5768298378234963,1.0150318107328051,0.013275883174348729,0.060546935761466386
44,-0.020957870235359444,-0.05099099226464046,-0.08737263574802658,3.1876157655233084e-05,0.020234717196546577
45,0.2667207491363217,-0.7787720791363217,-1.358293760962263,0.013372569757558917,0.03528318863457053
46,0.024633352545943232,-0.27711718654594325,-0.4783181810555501,0.0015300623360824288,0.03209391160786753
47,0.34447438988028944,0.6454050401197106,1.1210112059220938,0.008658085341026992,0.03339124500969857
48,-0.1388800606460372,0.3745062296460372,0.6479863550326002,0.0030433786256829024,0.034760205624643215
49,-0.3055513249307532,1.1704789749307531,2.178002441766701,0.13138480099177413,0.1259649227470127
50,0.2945853849776474,-0.2043933999776475,-0.355259042931052,0.0012443739925557225,0.04655657784893361
51,0.25227303510062915,0.041004129899370856,0.07056994307144514,2.990602645545321e-05,0.028844001668380918
52,0.3525421796556357,-0.04325861215563581,-0.07454907527360691,3.6447347914210555e-05,0.03141725456011159
53,-0.13347898721370455,-0.4164472452862955,-0.7257727233138055,0.005278262533497233,0.0474782605499343
54,0.20844978658897584,-1.0335793365889758,-1.8350084898355121,0.037238483846125145,0.05367354969991376
55,0.3686238159708972,0.005284109029102757,0.009075077942325241,4.2351813396159503e-07,0.024802074858732988
56,-0.3599775915742589,-0.8194196909257412,-1.4651935784162036,0.03643980984913315,0.07912888058381055
57,0.026084594942661576,-0.23677965919266147,-0.4076413486334253,0.0009575476781088526,0.027758375884317732
58,0.38670748567051594,-0.19045055317051593,-0.32818821007871124,0.0006774004358006097,0.03020081289402035
59,0.3778511346237221,-0.2999789096237222,-0.5164351389944002,0.0014720183255555503,0.026646895305080243
60,-0.14749693207330672,0.4838438915733067,0.8381790448290397,0.00497850439060503,0.034112640747004194
61,0.22411954224130692,-0.47910611474130693,-0.8470256825264089,0.011244893913016524,0.07246474859153784
62,-0.10184976422318814,-0.18926600077681188,-0.3251962190415709,0.000537377380332626,0.02454282723657457
63,-0.7170261847094892,-0.5038000602905108,-0.8898160835687291,0.011928551191979655,0.06990383218433396
64,-0.06305691403550573,0.5493214965355058,1.022596426723933,0.039944324751144504,0.16043110677114042
65,-0.3218670203607228,-0.1769179596392772,-0.30941634235574844,0.0012042336973313195,0.058623007793542764
66,0.3413716291885124,-0.7819177416885124,-1.3604124528835648,0.011514721560756006,0.0304406624196215
67,-0.09792294970787996,0.15146942470787986,0.2627536866982158,0.0006328257102108267,0.043398093746489876
68,-0.4473136318973092,0.8088280243973092,1.4440193349540387,0.03433031865063385,0.07688643523963058
69,0.30106131269585124,0.18986908730414875,0.3350806339569343,0.0018467671738834773,0.07531258002895244
70,0.20778053779336136,0.5425167997066386,0.9617034592389639,0.015082337214093059,0.07533325728871432
71,-0.33211781406756147,0.3211987245675615,0.5586526450820967,0.0030244813373936433,0.04588577130384483
72,-0.0690797555362106,0.4084339780362105,0.7007140680152253,0.0017551286925117891,0.01746370739350417
73,0.3601225458503601,-0.79045880585036,-1.3814823618725218,0.015150583278379582,0.0385396390736506
74,0.05235451222560228,0.5283251927743978,0.9256404247617956,0.009819402700880957,0.05411672763126147
75,-0.21018955505478376,1.7681419750547835,3.2034412205569063,0.047587959651345504,0.024885591613379873
76,0.2112571225924127,0.6538558774075873,1.1368714824680646,0.009352853190995176,0.03502560453830972
77,-0.3357117095090614,-0.4172018354909386,-0.7272392417132963,0.005343393360916901,0.0478527566031058
78,-0.006211020342226314,-0.3668874346577737,-0.6310595154030431,0.0019296049959849992,0.023502755846980704
79,-0.5332535202245987,-0.1943153922754013,-0.3437784560002716,0.002070331914379608,0.07982523625702673
80,0.11803429459212444,0.36642836540787554,0.6313182077851142,0.002204448890660351,0.02673954573226949
81,-0.4177639870422265,-0.5197565829577735,-0.9105882254028179,0.009543031393969555,0.05431876696407199
82,0.04895803618119987,-0.06241985368119987,-0.10847929655830396,0.00011868622437138034,0.04751643102001471
83,-0.2827199439146417,-1.0432213710853582,-1.8229467812887332,0.01566315949134583,0.023591913180332533
84,-0.5041737029346479,0.646592676934648,1.177695803909448,0.0375729018138674,0.11973346783600092
85,0.2284161771971187,0.1260345478028812,0.22089627215449628,0.0006643393704474707,0.06311817200590505
86,0.009456733476719492,0.7419800490232805,1.2903010558152437,0.010731687114034823,0.03144190855323603
87,-0.6187749602186141,0.8810091227186141,1.6170362388626767,0.07117124701991892,0.12163703005979702
88,-0.26334269334746363,-0.8396195441525365,-1.5171963888049051,0.048656665133350166,0.09680803374878184
89,0.3380907544508427,-0.32675426595084267,-0.5693629295645398,0.0033846820111690682,0.049268065567886626
90,-0.4694033701990281,-0.016587417300971907,-0.029136059094017563,1.2466879849548315e-05,0.0677131960795884
91,-0.1215840975500081,0.1811747400500081,0.3141505519673719,0.0008799235433395593,0.0422769394498729
92,-0.15921856602573903,0.445398686025739,0.805317161989843,0.01673155049310486,0.1138695600640203
93,0.3746299161239691,0.29548742737603095,0.5160391703396079,0.00307243399906991,0.05413038362971333
94,-0.41709388357875454,-0.7389083064212454,-1.3066665474027737,0.022755544844813673,0.06292571868927475
95,-0.6279872468595227,-0.14513960314047725,-0.2563078842987048,0.0011070225559422053,0.07698044507924139
96,-0.40289782467326,-0.31736673032673995,-0.5705057324627688,0.007831787987002762,0.10668857418563998
