statistic,value
R²,0.22620945011254778
Adjusted R²,0.1925663827261368
F-statistic,6.723805755117259
F p-value,8.58611787566409e-05
AIC,176.59608678949598
BIC,189.4696416820129
N observations,97.0
N predictors,4.0
