term,estimate,se,z,p
Intercept,-0.30388504571070796,0.04956322336528555,-6.131260742890894,8.718537691758166e-10
Time_log,-0.09794245470410193,0.009891581279400057,-9.901597321762322,4.0967872154545495e-23
Age_c,-0.005246158528103337,0.003415336248860568,-1.5360591595786717,0.12452387156979992
Time_log:Age_c,0.0006745413224318375,0.0006827675662009005,0.9879516190043471,0.3231763432822079
