composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours,Age
A010_T1,A010,T1,-0.13905293,0.033312414,1.0,22.0
A010_T2,A010,T2,-0.483975,0.033312414,21.9,22.0
A010_T3,A010,T3,-0.68631816,0.033312414,80.88,22.0
A010_T4,A010,T4,-0.68651795,0.033312414,145.31,22.0
A011_T1,A011,T1,0.1330746,0.033312414,1.0,21.0
A011_T2,A011,T2,-0.600107,0.033312414,24.57,21.0
A011_T3,A011,T3,-0.56184554,0.033312414,72.55,21.0
A011_T4,A011,T4,-1.3168331,0.033312414,148.85,21.0
A012_T1,A012,T1,-0.09271885,0.033312414,1.0,21.0
A012_T2,A012,T2,-0.73501015,0.033312414,25.6,21.0
A012_T3,A012,T3,-0.4385995,0.033312414,166.33,21.0
A012_T4,A012,T4,-0.81121576,0.033312414,166.87,21.0
A013_T1,A013,T1,-0.5214896,0.033312414,1.0,22.0
A013_T2,A013,T2,-0.8025816,0.033312414,24.77,22.0
A013_T3,A013,T3,-0.57931006,0.033312414,79.66,22.0
A013_T4,A013,T4,-1.0235835,0.033312414,147.13,22.0
A014_T1,A014,T1,-0.13213211,0.033312414,1.0,22.0
A014_T2,A014,T2,-0.22750956,0.033312414,25.66,22.0
A014_T3,A014,T3,-0.47540674,0.033312414,70.56,22.0
A014_T4,A014,T4,-0.9524173,0.033312414,148.87,22.0
A015_T1,A015,T1,0.17578323,0.033312414,1.0,23.0
A015_T2,A015,T2,-0.33134136,0.033312414,23.69,23.0
A015_T3,A015,T3,-0.14433615,0.033312414,70.59,23.0
A015_T4,A015,T4,-0.5226083,0.033312414,146.54,23.0
A016_T1,A016,T1,-0.3108059,0.033312414,1.0,21.0
A016_T2,A016,T2,-0.9208703,0.033312414,32.85,21.0
A016_T3,A016,T3,-0.775769,0.033312414,80.64,21.0
A016_T4,A016,T4,-1.2670994,0.033312414,150.8,21.0
A017_T1,A017,T1,-0.1695174,0.033312414,1.0,24.0
A017_T2,A017,T2,0.28766757,0.033312414,20.61,24.0
A017_T3,A017,T3,0.24563572,0.033312414,61.28,24.0
A017_T4,A017,T4,-0.0076715588,0.033312414,140.49,24.0
A018_T1,A018,T1,-0.12740232,0.033312414,1.0,23.0
A018_T2,A018,T2,-0.3386591,0.033312414,34.03,23.0
A018_T3,A018,T3,-0.4846632,0.033312414,83.64,23.0
A018_T4,A018,T4,-0.6635811,0.033312414,150.87,23.0
A019_T1,A019,T1,-2.0066547,0.033312414,1.0,20.0
A019_T2,A019,T2,-1.936245,0.033312414,28.69,20.0
A019_T3,A019,T3,-2.2414632,0.033312414,83.68,20.0
A019_T4,A019,T4,-0.9828369,0.033312414,154.76,20.0
A020_T1,A020,T1,-0.20167366,0.033312414,1.0,26.0
A020_T2,A020,T2,-0.3446548,0.033312414,26.85,26.0
A020_T3,A020,T3,-1.0575721,0.033312414,78.25,26.0
A020_T4,A020,T4,-1.261497,0.033312414,145.78,26.0
A021_T1,A021,T1,-0.3146922,0.033312414,1.0,28.0
A021_T2,A021,T2,-0.41681358,0.033312414,30.21,28.0
A021_T3,A021,T3,-0.60466605,0.033312414,74.19,28.0
A021_T4,A021,T4,-0.09706275,0.033312414,140.39,28.0
A022_T1,A022,T1,-0.81380814,0.033312414,1.0,28.0
A022_T2,A022,T2,-1.6027367,0.033312414,24.15,28.0
A022_T3,A022,T3,-0.83548737,0.033312414,74.46,28.0
A022_T4,A022,T4,-1.0474674,0.033312414,141.71,28.0
A023_T1,A023,T1,-0.49011907,0.033312414,1.0,26.0
A023_T2,A023,T2,-0.39423442,0.033312414,25.63,26.0
A023_T3,A023,T3,-0.5714011,0.033312414,72.2,26.0
A023_T4,A023,T4,-0.39642394,0.033312414,145.07,26.0
