item_name,Difficulty,Overall_Discrimination,Discrim_What,Discrim_Where,Discrim_When
TC_IFR-D-i6,0.4764073491096496,4.1976542,0.0,4.1976542,0.0
TC_IFR-N-i1,0.355967253446579,3.2582479,3.2582479,0.0,0.0
TC_IFR-N-i2,0.3467358350753784,3.5460494,3.5460494,0.0,0.0
TC_IFR-N-i3,0.4365259408950805,2.700368,2.700368,0.0,0.0
TC_IFR-N-i4,0.5310814380645752,2.4107761,2.4107761,0.0,0.0
TC_IFR-N-i5,0.4405078887939453,3.2658482,3.2658482,0.0,0.0
TC_IFR-N-i6,0.3719652593135834,3.4735937,3.4735937,0.0,0.0
TC_IFR-O-i1,0.8478127717971802,2.738868,0.0,0.0,2.738868
TC_IFR-O-i2,0.9830578565597534,2.863555,0.0,0.0,2.863555
TC_IFR-O-i3,0.3678775429725647,5.816286,0.0,0.0,5.816286
TC_IFR-O-i4,1.0406713485717771,2.8312137,0.0,0.0,2.8312137
TC_IFR-O-i5,0.8447659015655518,3.6877596,0.0,0.0,3.6877596
TC_IFR-O-i6,0.8354434370994568,3.6504333,0.0,0.0,3.6504333
TC_IFR-U-i1,0.2431322336196899,3.5769985,0.0,3.5769985,0.0
TC_IFR-U-i2,0.3322309553623199,3.629584,0.0,3.629584,0.0
TC_IFR-U-i3,0.2413371354341507,4.0184984,0.0,4.0184984,0.0
TC_IFR-U-i4,0.3216052055358886,4.3183885,0.0,4.3183885,0.0
TC_IFR-U-i5,0.2644906938076019,4.9513273,0.0,4.9513273,0.0
TC_IFR-U-i6,0.5193371772766113,3.894774,0.0,3.894774,0.0
TC_IRE-D-i1,0.5626512169837952,3.0173845,0.0,3.0173845,0.0
TC_IRE-D-i2,0.3707564175128937,4.601623,0.0,4.601623,0.0
TC_IRE-D-i3,0.6404592990875244,2.5547721,0.0,2.5547721,0.0
TC_IRE-D-i4,0.3070578277111053,4.5842576,0.0,4.5842576,0.0
TC_IRE-D-i5,0.4557416439056396,3.7527316,0.0,3.7527316,0.0
TC_IRE-D-i6,0.3629272580146789,4.1117353,0.0,4.1117353,0.0
TC_IRE-N-i1,0.0588947460055351,3.539329,3.539329,0.0,0.0
TC_IRE-N-i2,0.0111894756555557,3.8803492,3.8803492,0.0,0.0
TC_IRE-N-i3,0.2978752851486206,2.5941641,2.5941641,0.0,0.0
TC_IRE-N-i4,0.0438119582831859,3.7691362,3.7691362,0.0,0.0
TC_IRE-N-i5,0.2030744105577469,2.8716803,2.8716803,0.0,0.0
TC_IRE-N-i6,0.1754434555768966,3.0194683,3.0194683,0.0,0.0
TC_IRE-O-i1,1.0704091787338257,2.6162455,0.0,0.0,2.6162455
TC_IRE-O-i2,0.7603967189788818,3.6912043,0.0,0.0,3.6912043
TC_IRE-O-i3,0.5152909755706787,3.994828,0.0,0.0,3.994828
TC_IRE-O-i4,1.1166852712631226,2.0659168,0.0,0.0,2.0659168
TC_IRE-O-i5,1.0028797388076782,2.596464,0.0,0.0,2.596464
TC_IRE-O-i6,0.6688804626464844,4.5127664,0.0,0.0,4.5127664
TC_IRE-U-i1,0.1870492398738861,4.4331594,0.0,4.4331594,0.0
TC_IRE-U-i2,0.2735511660575866,3.3752525,0.0,3.3752525,0.0
TC_IRE-U-i3,0.2698226571083069,3.408158,0.0,3.408158,0.0
TC_IRE-U-i4,0.4021174907684326,2.8295949,0.0,2.8295949,0.0
TC_IRE-U-i5,0.1805347949266433,4.647463,0.0,4.647463,0.0
TC_IRE-U-i6,0.4207832217216491,2.8729446,0.0,2.8729446,0.0
