time,probability,CI_lower,CI_upper,domain,n
1.0,0.14334912786999557,0.10609716116405664,0.19088762828667405,What,100
28.769699999999997,0.06939930904957196,0.04831763456887482,0.0987250186602581,What,100
78.6681,0.04071236078567052,0.02801910158560164,0.05880802776115026,What,100
151.3752,0.020192445378163927,0.013377869093993033,0.030371453051704356,What,100
1.0,0.20460341319561193,0.15411093849333,0.26642850762897063,When,100
28.769699999999997,0.06625958163410779,0.047549386244457786,0.09162381146820196,When,100
78.6681,0.04339057348461411,0.031502754286492345,0.059488812287663,When,100
151.3752,0.026317505085899875,0.01833026570374958,0.037651620045063304,When,100
1.0,0.12420445626061788,0.09002400429599196,0.1689530587465219,Where,100
28.769699999999997,0.05323249144325843,0.03599355171398919,0.07805937726678998,Where,100
78.6681,0.029806035058848924,0.020398595401330342,0.043359969060822894,Where,100
151.3752,0.01596183326249394,0.010368415328191924,0.024498019217557284,Where,100
