composite_ID,theta_What,theta_Where,theta_When
A048_T1,-0.42529228,-0.4119687,-0.040546156
A048_T2,-0.5610155,-0.50130993,-0.45673403
A048_T3,-0.61465216,-0.56778085,-0.08039472
A048_T4,-0.65105927,-0.6064999,-0.5098212
A049_T1,-0.06667343,-0.10412802,0.16267076
A049_T2,-0.47888353,-0.7092071,-0.8060583
A049_T3,-0.32821563,-0.42723703,-0.6432713
A049_T4,-0.5053736,-0.6360942,-0.47894952
A050_T1,-0.2657638,-0.38898432,-0.20686194
A050_T2,-0.49096194,-0.40215242,-0.68059653
A050_T3,-0.9423988,-1.1665498,-1.1239775
A050_T4,-1.0923439,-1.2131046,-1.174461
A051_T1,-0.16439596,-0.12820233,-0.006840326
A051_T2,-0.22459713,-0.2549019,-0.23385379
A051_T3,-0.61549366,-0.7069092,-0.82247996
A051_T4,-0.61903226,-0.7561197,-0.85412073
A052_T1,-0.39561334,-0.5525106,-0.25304422
A052_T2,-0.49785545,-0.7207964,-0.80174005
A052_T3,-0.84207344,-0.8434208,-0.91705847
A052_T4,-0.8058008,-0.6389898,-0.82686603
A053_T1,-0.28651848,-0.4336108,-0.033407547
A053_T2,-1.1660928,-1.3968238,-1.3352776
A053_T3,-1.2290307,-1.426704,-1.3695716
A053_T4,-1.3146551,-1.4801502,-1.3439645
A054_T1,0.13492307,0.02619408,-0.047779657
A054_T2,-0.28928557,-0.33991468,-0.45049557
A054_T3,-0.2825717,-0.30420798,-0.40397987
A054_T4,-0.2938811,-0.23918046,0.0015708432
A055_T1,-0.35311928,-0.3926186,-0.21268472
A055_T2,-0.77616096,-0.9742715,-1.0227029
A055_T3,-0.7554989,-1.1040324,-1.0756156
A055_T4,-0.897071,-1.2324716,-1.1549121
A056_T1,-0.68927824,-0.54613054,-0.74037516
A056_T2,-0.93868995,-1.1080766,-1.0796719
A056_T3,-0.6452353,-0.9965708,-0.968835
A056_T4,-0.9143076,-1.2472006,-1.2044901
A057_T1,-0.34245172,-0.5019572,-0.6862787
A057_T2,-0.28795853,-0.72120774,-0.7884687
A057_T3,-0.67065036,-0.98622155,-0.9808694
A057_T4,-1.3819438,-1.5060431,-1.4151288
A058_T1,-0.21970692,-0.35611278,-0.012105562
A058_T2,-0.5300101,-0.7531723,-0.84454554
A058_T3,-0.8178631,-0.64319754,-0.8153235
A058_T4,-1.100351,-1.2109812,-1.1691728
A059_T1,-0.6515304,-0.6286639,-0.47303566
A059_T2,-0.29224053,-0.6262918,-0.53347456
A059_T3,-0.8016254,-0.72342753,-0.64206445
A059_T4,-0.82543993,-0.57271457,-0.7999753
A060_T1,-0.62197614,-0.68015516,-0.33348235
A060_T2,-0.36582878,-0.43976098,-0.66775596
A060_T3,-0.45749488,-0.35194504,-0.4921871
A060_T4,-0.22756758,-0.119872704,-0.52568114
A061_T1,0.026863664,0.37576985,0.6315417
A061_T2,-0.20141712,0.075907454,0.24051061
A061_T3,-0.15654364,-0.32587385,-0.5908457
A061_T4,-0.3352808,-0.20234539,-0.19309792
A062_T1,-0.19175711,-0.31818545,-0.57991207
A062_T2,-0.8136169,-0.6724622,-0.8303845
A062_T3,-1.0186192,-0.8789067,-1.0038906
A062_T4,-1.5301546,-1.506689,-1.4768986
A063_T1,-1.3105726,-1.1595403,-0.78787875
A063_T2,-1.7545719,-1.7966503,-1.6808354
A063_T3,-2.040378,-2.0271668,-1.930202
A063_T4,-2.0991325,-2.0597124,-1.9949871
A064_T1,-0.18473855,-0.2836684,-0.4538723
A064_T2,-0.54424644,-0.5649066,-0.7550837
A064_T3,-0.7770504,-0.78656256,-0.8742511
A064_T4,-0.6006372,-0.66936743,-0.7987431
A065_T1,-0.720618,-0.5935962,-0.5878502
A065_T2,-1.3715454,-1.5105712,-1.4069687
A065_T3,-2.0544357,-2.0191505,-1.9124418
A065_T4,-1.8059305,-1.8394674,-1.7687904
A066_T1,-0.5876782,-0.78041434,-0.03186343
A066_T2,-0.5788903,-0.71292055,-0.82338274
A066_T3,-0.6865274,-0.88305545,-0.91784
A066_T4,-1.3572588,-1.3859849,-1.3457407
A067_T1,-0.4778358,-0.6291679,-0.5534624
A067_T2,-1.43763,-1.5328736,-1.4964911
A067_T3,-1.2409142,-1.4259928,-1.3538316
A067_T4,-1.5313429,-1.4630948,-1.4309077
A068_T1,-0.011939913,0.06733094,0.03891673
A068_T2,-0.23106328,-0.11734666,0.14917627
A068_T3,-0.31216565,-0.38670588,-0.39515755
A068_T4,-0.746335,-0.61618924,-0.23717031
A069_T1,-0.78470266,-0.8975359,-0.09750376
A069_T2,-1.3078427,-1.4471911,-1.3930587
A069_T3,-1.8123447,-1.8237747,-1.7437984
A069_T4,-1.2188104,-1.4015568,-1.2910391
A070_T1,-0.35893467,-0.39956844,-0.66143167
A070_T2,-0.37078956,-0.58960927,-0.7210969
