predictor_value,partial_residual
1.0,1.1752931513931348
21.9,-0.5410796133112307
80.88,-0.798053911907711
145.31,0.1435465035700958
1.0,0.18291664438035232
24.57,0.14436202747554217
72.55,-0.6335169577690889
148.85,-0.3150807513056947
1.0,0.368378218607532
25.6,-0.9540156496480603
166.33,0.7116435041051321
166.87,-0.7234413570685924
1.0,-0.35908450834121913
24.77,-0.6387662153544523
79.66,0.3593874526339367
147.13,-0.14921510827247697
1.0,-0.29394578136653987
25.66,1.0377630691748583
70.56,-0.09921176506416096
148.87,-0.8900622817988553
1.0,-0.238506736672857
23.69,0.465002727192549
70.59,0.4941605779471807
146.54,-0.33418987391203414
1.0,0.5106943783001456
32.85,-0.015879934495213854
80.64,-0.10795623457511756
150.8,-0.9903703461812225
1.0,-1.1080788207848395
20.61,0.7593093464575729
61.28,-0.05396307466122284
140.49,-0.006214615036346849
1.0,-0.34379338401320664
34.03,-0.1704574195288696
83.64,-0.5380915074772594
150.87,0.2957679870140379
1.0,-0.28956878278463455
28.69,-0.48610902291734953
83.68,-0.19174308083593114
154.76,-0.487980675186581
1.0,-0.022926893431333733
26.85,0.1689045742274477
78.25,-0.09190820518076898
145.78,-1.298424558230576
1.0,-0.015988940579583385
30.21,-0.15235094530520643
74.19,-0.2327093258119972
140.39,0.30256055549386407
1.0,-0.7095374487584877
24.15,0.1889002213703527
74.46,-0.1471878748453407
141.71,0.11779390944311324
1.0,0.04204450138248467
25.63,-0.7685980117669126
72.2,0.06877188387931685
145.07,0.10594777111077464
1.0,-0.37348915629391805
29.57,-0.026552012132685772
91.47,0.2692516924340933
145.65,-0.5446786254240703
1.0,-0.010507999187480185
23.33,1.2053129940803182
72.94,-0.37319322010285993
137.74,-1.2044435822744743
1.0,-0.003750662097419418
26.48,-0.44492076374844197
75.46,0.4919061752292526
147.65,-0.39844745166721607
1.0,0.2936297784330493
28.26,0.22207903511061053
74.58,-0.6014473756248171
145.92,-0.5759358030360815
1.0,0.7444463532035359
22.82,-0.49023135156781367
72.26,-0.14106371684984118
138.91,-0.6481072405357932
1.0,0.09692713175143225
28.43,-0.6899696332269244
93.26,0.5090643672671172
143.14,0.09286179151046225
1.0,-0.751022510682435
32.95,0.7118812390434075
71.93,-0.4574508002741823
150.46,0.16465332562608348
1.0,1.1951668453730493
32.41,-0.45152489240994864
71.56,-0.3430096312810238
143.85,-0.7150459221022751
1.0,-0.5428846731101946
57.18,-0.7770655796584707
80.16,0.0719482151765187
144.51,1.086693140801752
1.0,-0.6046643176116279
29.16,0.03757616958640641
72.6,0.6840215089919723
168.33,-0.5045564511862699
1.0,0.8269699069914914
26.08,-0.009535901801961164
74.28,-0.5479754267776955
145.38,-0.45255420122009327
1.0,-0.6386187325454497
44.76,0.8206910230662209
79.98,-0.29411958963024887
152.47,-0.6426110917182811
1.0,0.6727415016398955
21.63,-0.29618559325328697
71.47,-0.28420141611965877
143.85,-0.7318053487007519
1.0,-0.05349051950652667
23.7,0.5450883017506856
72.08,-0.17932755424729857
143.66,-0.48423287817566657
1.0,0.020071108265460828
71.85,-0.5999420734362614
72.86,0.538353511339532
152.89,-0.2827931160505477
1.0,0.3825103596949802
28.65,0.07236390052289549
98.84,-0.40662426841036636
246.24,-0.05499052057664233
1.0,-0.42747828763330437
26.26,0.7564190646754879
71.28,-0.8606498679185347
143.53,-0.6335338585537463
1.0,0.40309357042708477
31.78,-1.3908695620263016
75.74,0.24835023662734323
141.84,0.22350883747431005
1.0,-0.8801731295479339
28.93,-0.43976664168732466
72.17,0.5681637818438859
146.02,-0.37016734525776496
1.0,-0.012251576451731413
25.62,0.04642081020190957
64.94,0.2357637936202582
149.33,-0.5266599123556728
1.0,-0.09256963315956077
47.66,0.28077672972592027
91.63,-0.5134566373729721
155.27,-0.882043926298361
1.0,-0.698057166213013
24.66,-0.2873075520504394
72.23,-0.17584372186261157
151.52,-0.1366513505843595
1.0,-0.4416010977580605
24.32,-0.4576730855607606
73.05,-0.5529010793258713
147.94,0.07069295061162284
1.0,-0.5833461907029108
23.46,0.1651584583045597
76.85,-0.314711925174186
144.22,-0.5294594309096962
1.0,0.1334670753820833
23.91,-0.4906702628530777
81.15,-0.04314279172037602
146.3,0.03145423942569803
1.0,0.9445655251753823
27.12,-1.1445325610474029
111.38,0.057177313473423474
168.86,-0.19695576461077952
1.0,-0.4264607525456893
24.73,-0.2264266866572892
93.39,-0.17108811610757207
148.69,-0.2848616269609067
1.0,0.9145390708678213
17.16,-0.4719898635090078
65.63,-0.550494038359431
146.99,-0.4500489574602126
1.0,-0.15045170115631773
31.76,0.20761439769294687
80.98,0.12386064914614908
153.27,-0.6946604404680201
1.0,0.34815510406133005
32.71,0.4829385585679228
78.28,-0.7322753630137959
148.9,-0.33192906826188784
1.0,-0.9474080405499267
16.9,0.08729589222300074
72.83,0.42582352336789764
136.83,0.5851676720825103
1.0,-0.4521184011980084
23.24,0.6227517803676793
74.48,-0.13569740694890586
149.21,-0.49840405518982145
1.0,-0.08957021723822417
33.61,0.5046365633872462
71.46,-0.3062005402884513
147.84,-0.6980291729123685
1.0,0.24903773020662157
24.78,-0.5015492606325386
73.83,-0.18822498762821577
145.06,-0.450777199265367
1.0,0.5819960929533424
22.96,-0.7837772219099859
66.28,0.1476119892517178
143.48,-0.6376428968252079
1.0,-0.4983786446589015
30.4,0.2926859544990454
79.78,0.5694110518052332
151.93,-0.26171179746207013
1.0,-0.8977876219885913
24.87,0.9618613482920868
94.68,-0.6087847807095773
143.91,0.1689801226411095
1.0,1.1440584192894123
35.16,0.12864032108934445
82.55,-0.37674771959604236
146.56,-0.8369113871981195
1.0,0.7728349516104166
44.69,-0.009659744838521181
92.72,-0.6096207070169157
149.18,-0.6345854049817995
1.0,-0.016572135160140274
21.98,0.3228063292119031
69.99,0.002081373103035966
141.09,-0.6180026470041042
1.0,-0.10085077898571843
37.65,0.20803715795935754
82.99,-0.02794278565648667
156.21,-0.41905402768306327
1.0,-1.3323177932969372
32.31,0.4819521870013215
106.41,-0.520129237880915
187.43,-0.5553491278186364
1.0,0.27018381166498956
23.35,-0.15665659267335993
73.79,-0.4105088564809166
164.93,-0.6033993257915935
1.0,0.7022355415239054
29.91,-0.7357895041574005
73.19,-0.7255112973204815
144.19,-0.2914790943754195
1.0,0.33757653401383797
30.49,-0.26825946384507054
82.98,0.17452277037835312
155.59,-0.520086279398679
1.0,-0.4553651094120637
24.96,-0.6688021454904691
79.75,0.351752753749515
140.22,-0.532567733931357
1.0,0.14371542003297355
24.25,0.0765089518256754
81.92,-0.17466223149693152
149.2,-0.67633062913747
1.0,0.2897182697726702
30.92,0.12485884105335014
79.96,-0.9621695225453712
153.27,0.16334328858975256
1.0,0.24041556767898847
33.76,0.2042010733910196
83.54,-0.888033241590996
154.89,-0.02763549448962338
1.0,-0.06779528912422189
66.66,-0.761624340559884
66.9,-0.29302760011156975
140.12,0.8286656682665059
1.0,0.7263854729467716
29.33,-0.05550031371513715
73.02,-0.574788921330144
147.21,-0.7346502026434013
1.0,0.045653448394191054
28.68,0.5748248236792948
71.37,-1.302466460586379
244.53,-0.14309224049422897
1.0,-0.0031652355880216164
27.3,0.13123973099421316
74.88,-0.11492367828987143
149.28,-1.2930299319964669
1.0,0.19033834787000942
53.88,-0.5965467557527984
78.36,-0.11829033863878838
149.75,0.32605613264677064
1.0,-0.15609133696402128
26.17,0.36823278332489645
