metric,IRT,CTT,delta,interpretation
AIC,2559.0624933373074,-1069.3017172346918,-3628.364210571999,Strong evidence for CTT
BIC,2609.9632616950685,-1018.4009488769309,-3628.364210571999,Strong evidence for CTT
