term,coef,se,z,p_uncorrected,p_holm,sig
Intercept,0.6318817749977897,0.09597453998093128,6.583847915534008,4.584266299900719e-11,2.2921331499503594e-10,True
C(congruence)[T.congruent],-0.032137394081262365,0.09827873290841822,-0.32700252771074934,0.7436659733894868,1.0,False
C(congruence)[T.incongruent],0.050728202389203114,0.09827873290841822,0.5161666302360102,0.605738034554254,1.0,False
log_TSVR,-0.18946874815383746,0.02311037885972946,-8.198426746001665,2.220446049250313e-16,1.3322676295501878e-15,True
C(congruence)[T.congruent]:log_TSVR,0.015657758193865477,0.026229009401852788,0.5969633833277528,0.5505318278819789,1.0,False
C(congruence)[T.incongruent]:log_TSVR,-0.010988393822344305,0.026229009401852788,-0.4189404812813135,0.675259631070293,1.0,False
