domain_name,age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
What,Young,70.56,0.39994225,,,,0.20251783065457585
What,Young,70.59,1.7069992,,,,0.8599252207631264
What,Young,70.83,,,,,
What,Young,71.17,,,,,
What,Young,71.19,,,,,
What,Young,71.28,,,,,
What,Young,71.31,,,,,
What,Young,71.37,,,,,
What,Young,71.4,,,,,
What,Young,71.45,,,,,
What,Young,71.46,,,,,
What,Young,71.47,-0.35021576,,,,-0.19173201580499372
What,Young,71.56,0.16093041,,,,0.019532370819381903
What,Young,71.85,0.007853324,,,,0.2953690683591923
What,Young,71.93,-0.18143387,,,,-0.08976010517588182
What,Young,72.08,0.059776444,,,,0.20354622700060582
What,Young,72.17,,,,,
What,Young,72.2,0.32838494,,,,-0.1052231134914704
What,Young,72.23,,,,,
What,Young,72.26,-0.43044564,,,,-0.10750537693932044
What,Young,72.3,,,,,
What,Young,72.55,-0.32275462,,,,-0.04008771226903751
What,Young,72.6,0.9273771,,,,0.15275027014579823
What,Young,72.62,,,,,
What,Young,72.8,,,,,
What,Young,72.83,,,,,
What,Young,72.86,0.70266676,,,,0.33439707976553645
What,Young,72.87,,,,,
What,Young,72.94,-0.524388,,,,0.068188723859993
What,Young,73.02,,,,,
What,Young,73.05,,,,,
What,Young,73.19,,,,,
What,Young,73.64,,,,,
What,Young,73.79,,,,,
What,Young,73.83,,,,,
What,Young,74.0,,,,,
What,Young,74.19,0.29306138,,,,0.3193689815290515
What,Young,74.28,0.20019667,,,,0.24168720072814545
What,Young,74.3,,,,,
What,Young,74.46,-0.30076003,,,,-0.01632212662775276
What,Young,74.48,,,,,
What,Young,74.58,-0.7617411,,,,-0.36046555768460975
What,Young,74.88,,,,,
What,Young,74.91,,,,,
What,Young,75.21,,,,,
What,Young,75.27,,,,,
What,Young,75.34,,,,,
What,Young,75.46,0.3868858,,,,0.025112388257789206
What,Young,75.71,,,,,
What,Young,75.74,0.059980888,,,,-0.16756295950603062
What,Young,76.21,,,,,
What,Young,76.85,-1.4562982,,,,-0.685913969710986
What,Young,78.25,-0.46821594,,,,-0.6673138851912708
What,Young,78.28,,,,,
What,Young,78.36,,,,,
What,Young,78.57,,,,,
What,Young,78.76,,,,,
What,Young,78.84,,,,,
What,Young,79.34,,,,,
What,Young,79.66,0.38999763,,,,-0.2255013680082122
What,Young,79.75,,,,,
What,Young,79.78,,,,,
What,Young,79.96,,,,,
What,Young,79.98,-0.35612592,,,,-0.3487682013798088
What,Young,80.13,,,,,
What,Young,80.16,0.7994235,,,,0.4366397840268958
