UID,cluster
A010,0
A011,0
A012,0
A013,1
A014,0
A015,0
A016,0
A017,0
A018,0
A019,1
A020,1
A021,0
A022,0
A023,0
A024,0
A025,0
A026,0
A027,0
A028,0
A029,0
A030,0
A031,0
A032,0
A033,0
A034,0
A035,0
A036,0
A037,0
A038,0
A039,0
A040,1
A041,0
A042,1
A043,0
A044,1
A045,1
A046,1
A047,1
A048,0
A049,0
A050,1
A051,0
A052,0
A053,0
A054,0
A055,0
A056,0
A057,1
A058,1
A059,0
A060,0
A061,0
A062,0
A063,0
A064,0
A065,1
A066,1
A067,1
A068,0
A069,1
A070,0
A071,0
A072,0
A073,0
A074,0
A075,1
A076,1
A077,0
A078,1
A079,1
A080,0
A081,0
A082,0
A083,0
A084,0
A085,0
A086,1
A087,0
A088,0
A089,0
A090,1
A091,1
A092,1
A093,0
A094,1
A095,0
A096,1
A097,0
A098,0
A099,0
A100,0
A101,1
A102,0
A103,1
A104,0
A105,0
A106,0
A107,1
A108,1
A109,1
