K,inertia,BIC
1,199.99999999999997,73.9198882419826
2,66.71917940137489,-31.257432343353795
3,34.397105957123905,-92.90426487215265
4,22.745229029446605,-129.66079681358102
5,16.810887124308586,-155.28849570551324
6,12.696085754806042,-178.75662371531834
