UID,Intercept_z,Slope_z
A010,1.4055721330816247,-1.50249661001323
A011,0.07611817895068121,-0.20082579121503452
A012,0.5917208528119505,-0.3301277474318976
A013,-0.27880048286160375,0.49842522325332445
A014,0.8932019164418058,-1.1821717582162992
A015,2.261688269304,-2.24797494356172
A016,0.20673720157329667,-0.5921680238136897
A017,0.39749809052392565,-0.1942240825709202
A018,-0.13825776011704508,0.3710768532969261
A019,-1.6678621136656582,1.6521990632805146
A020,-1.3486388384938182,0.9548628489898409
A021,1.1495056094226572,-0.9544858573321721
A022,0.11842388686941319,0.12543256101677036
A023,0.15296645919991397,0.055482551576086135
A024,-0.05021684525595985,0.08921322016529001
A025,0.4868748934250924,-0.9533501910086567
A026,0.578339913679293,-0.5284875963869818
A027,-0.08968838969411257,-0.14885629583977075
A028,0.1487450874495311,-0.3767052276994004
A029,1.5173933370971646,-1.241249113293671
A030,0.6358374408298556,-0.4057748860931816
A031,0.628217513868115,-1.0062415855324411
A032,1.1383143371869573,-0.5378698163807007
A033,0.5485392853960193,-0.47169784046986435
A034,0.8879151786461584,-1.147673281871338
A035,-0.23332793089876305,0.17348160683802902
A036,-0.12954670171330435,-0.14694990999289162
A037,0.9085635069291185,-1.0362379367526644
A038,0.8586601188787352,-0.8486161325824926
A039,1.8265231424605264,-1.7477761558651677
A040,-1.3798311837966362,1.2038749398083326
A041,0.15019359463879625,0.0826872191889009
A042,-1.253071233608648,1.4795564337180735
A043,0.6240785082044782,-0.6982385050249097
A044,-1.2168372995318217,0.9378003618509514
A045,-1.6338367361885946,1.8444360516073894
A046,-1.8448173535882137,2.0683018179112627
A047,-1.555708894581519,1.5403301913627259
A048,0.4314751965609955,-0.27284235302777066
A049,0.77973986106431,-0.741912388618846
A050,-1.1839614775974958,1.2969062425653917
A051,-0.1432673979179749,-0.047419206615737855
A052,0.11584662621610235,-0.22490118393677302
A053,0.7011400918484401,-0.8740091743190775
A054,1.3946013046142118,-0.8744401162806098
A055,0.11488021461365303,-0.1635530261190171
A056,-0.09456806312406352,-0.08890506416704085
A057,-0.790449992948979,0.7293009907457498
A058,-0.4286886286420849,0.29506357105426984
A059,1.4659864520490213,-1.2939114715643238
A060,0.3392277561789518,-0.15332491517773444
A061,1.3349613207231648,-1.7816548882381091
A062,0.23402980568070728,-0.5732478466228427
A063,0.37967934953353477,-0.5069846772198523
A064,0.505291112952177,-0.5231298915670985
A065,-2.8410319171112213,2.8614918165153806
A066,-0.8379058409073119,0.6533175379452582
A067,-1.2283312267778197,1.10703446267009
A068,0.5740403372837757,-0.6536458304122967
A069,-1.7797655537307502,1.911481840987069
A070,-0.32434036465962,0.16057563759334895
A071,0.2996708138093523,-0.26235390021371086
A072,0.14718045176912042,-0.17942561062327275
A073,0.5694924999520609,-0.21509357535565918
A074,-0.3747063498853347,0.05237429972488327
A075,-0.42920756048114034,0.4164918341234833
A076,-1.8077561654137626,1.4332832587161335
A077,0.797553552807809,-0.590309042957413
A078,-0.7685735738859286,0.6805084199592016
A079,-0.6591095010688475,0.6024621746788213
A080,0.06528184488910913,-0.1028497888940992
A081,0.5305999936731945,-0.16120112662741753
A082,0.720983849264182,-0.6295412417571632
A083,1.0889886026301954,-1.2946906037212118
A084,-0.017462332654976896,0.377425532912404
A085,0.4822321228077641,-0.6211959907833304
A086,-0.566221873780156,0.22890249839809798
A087,0.8516865436468107,-0.8391658797489521
A088,2.27676507043814,-2.3099918113306415
A089,1.2935847340029036,-1.295591411066255
A090,-1.1157221045663128,0.9793623581091467
A091,-0.5989009857653487,0.5116769983708906
A092,-1.1286344451375776,1.1592551090236842
A093,0.6383273455584194,-0.25704527853228165
A094,-1.4281311174659526,1.4707068652991866
A095,-0.00592656964454054,-0.2604065327480001
A096,-2.007035236155237,2.0290601129934136
A097,0.14631144217778821,0.2714846048091935
A098,0.5043696353046662,-0.48799280815404844
A099,1.0965844281251702,-0.9210392773143968
A100,0.3728738683347874,-0.08265025252137742
A101,-1.6529876450384002,1.8528254098348445
A102,0.00748866387973286,0.019671977040409995
A103,-0.7097043860300795,0.3474182602157443
A104,0.07074946871791477,-0.6930189507765844
A105,0.3579490841980362,-0.12594095536035416
A106,0.9093824258399518,-0.4909471887662399
A107,-1.756098390736361,1.9946195393352641
A108,-1.1816700487046106,1.367882018157085
A109,-1.1099838141877039,1.2067882344457155
