model,cohens_f2,f2_ci_lower,f2_ci_upper,power_observed,min_detectable_f2,power_80pct,effect_interpretation
accuracy_model,0.053705619480219687,0.033648349825772125,0.07535708332716616,0.171605967350289,0.1817224609375,0.8,Small
calibration_model,0.017643218664420632,0.0,0.03782383590697407,0.0357800187241164,0.1817224609375,0.8,Negligible
confidence_model,0.03152496938053096,0.012295523757873133,0.05226552326974478,0.07708856542205011,0.1817224609375,0.8,Small
