model,predictor,beta,se,ci_lower,ci_upper,p_uncorrected,p_bonferroni,vif,r_squared
accuracy_model,z_Dep,-0.07019552246336035,0.08878577208669397,-0.12647522358262228,0.1325092130094133,0.4311164442508284,1.0,1.0,0.050968333552887435
accuracy_model,z_Anx,0.10836498634292184,0.096890720309073,-0.2244091952024673,0.1060760948065188,0.26617646868504036,0.7985294060551211,1.7401956068405804,0.050968333552887435
accuracy_model,z_Str,0.08681758601109331,0.11544858736822645,-0.09540108471918589,0.2981178157973878,0.4538895782809421,1.0,2.0724100308205924,0.050968333552887435
confidence_model,z_Dep,-0.05958499012825926,0.04322540364335648,-0.696295465947734,-0.5739381911369721,0.17126172040394355,0.5137851612118307,1.0,0.03056151844725863
confidence_model,z_Anx,0.02369431921956036,0.047171302295662534,-0.16532403161204234,0.027807410679032002,0.6166041597647247,1.0,1.7401956068405804,0.03056151844725863
confidence_model,z_Str,0.05001974077754459,0.0562062104294611,-0.048204020541123584,0.09909908818689049,0.3757268122822015,1.0,2.0724100308205924,0.03056151844725863
calibration_model,z_Dep,-0.0634667882521823,0.087260745379311,-0.12897150023773868,0.12593138650393998,0.4687978710297882,1.0,1.0,0.017337332319254384
calibration_model,z_Anx,-0.05998615784942271,0.09522647915087673,-0.26042512358397996,0.06784275948006485,0.5302358921498427,1.0,1.7401956068405804,0.017337332319254384
calibration_model,z_Str,0.023733144879755426,0.11346558744686217,-0.21147906056503082,0.09393885592675726,0.8347618464699855,1.0,2.0724100308205924,0.017337332319254384
