TSVR_hours,domain,probability,predicted_probability,UID
1.0,what,0.9864325365860115,0.8716013357097662,A010
1.0,what,0.9162499216301792,0.8716013357097662,A011
1.0,what,0.9202554397130212,0.8716013357097662,A012
1.0,what,0.6828699223796244,0.8716013357097662,A013
1.0,what,0.9235961648551085,0.8716013357097662,A014
1.0,what,0.9422016452734548,0.8716013357097662,A015
1.0,what,0.9770499910132654,0.8716013357097662,A016
1.0,what,0.48121405641702086,0.8716013357097662,A017
1.0,what,0.8510211288070286,0.8716013357097662,A018
1.0,what,0.6822136168776775,0.8716013357097662,A019
1.0,what,0.8820826274443894,0.8716013357097662,A020
1.0,what,0.9233811094313342,0.8716013357097662,A021
1.0,what,0.9017119681686269,0.8716013357097662,A022
1.0,what,0.8064120139347399,0.8716013357097662,A023
1.0,what,0.8494737081277663,0.8716013357097662,A024
1.0,what,0.9092279909581498,0.8716013357097662,A025
1.0,what,0.9241485581194476,0.8716013357097662,A026
1.0,what,0.8252755590496261,0.8716013357097662,A027
1.0,what,0.9668086422198519,0.8716013357097662,A028
1.0,what,0.967996559479923,0.8716013357097662,A029
1.0,what,0.8936094042959641,0.8716013357097662,A030
1.0,what,0.9836084941962073,0.8716013357097662,A031
1.0,what,0.8856506384822092,0.8716013357097662,A032
1.0,what,0.8872844250120343,0.8716013357097662,A033
1.0,what,0.9241029069296122,0.8716013357097662,A034
1.0,what,0.7496704452939384,0.8716013357097662,A035
1.0,what,0.9366653954141038,0.8716013357097662,A036
1.0,what,0.9580414571393924,0.8716013357097662,A037
1.0,what,0.9233725280741406,0.8716013357097662,A038
1.0,what,0.985017086751147,0.8716013357097662,A039
1.0,what,0.7167336102110912,0.8716013357097662,A040
1.0,what,0.9167339143684874,0.8716013357097662,A041
1.0,what,0.7408130906257931,0.8716013357097662,A042
1.0,what,0.8638435627334955,0.8716013357097662,A043
1.0,what,0.8052450852696729,0.8716013357097662,A044
1.0,what,0.6127660988620823,0.8716013357097662,A045
1.0,what,0.6240857050287669,0.8716013357097662,A046
1.0,what,0.8309120977787071,0.8716013357097662,A047
1.0,what,0.9690361260831396,0.8716013357097662,A048
1.0,what,0.9888693072040703,0.8716013357097662,A049
1.0,what,0.6652254210702178,0.8716013357097662,A050
1.0,what,0.9158830890164612,0.8716013357097662,A051
1.0,what,0.9624761756295077,0.8716013357097662,A052
1.0,what,0.9372472434767225,0.8716013357097662,A053
1.0,what,0.8474863845922914,0.8716013357097662,A054
1.0,what,0.7352280298510847,0.8716013357097662,A055
1.0,what,0.9258652396159659,0.8716013357097662,A056
1.0,what,0.9144511046208988,0.8716013357097662,A057
1.0,what,0.7976584877558622,0.8716013357097662,A058
1.0,what,0.923679007135451,0.8716013357097662,A059
1.0,what,0.7419729492772829,0.8716013357097662,A060
1.0,what,0.9771539462017279,0.8716013357097662,A061
1.0,what,0.9512037977569934,0.8716013357097662,A062
1.0,what,0.8665663942398724,0.8716013357097662,A063
1.0,what,0.9653341371689351,0.8716013357097662,A064
1.0,what,0.31364998232652336,0.8716013357097662,A065
1.0,what,0.9106400113927068,0.8716013357097662,A066
1.0,what,0.7653125944388068,0.8716013357097662,A067
1.0,what,0.9484843262216732,0.8716013357097662,A068
1.0,what,0.7561443496564679,0.8716013357097662,A069
1.0,what,0.960229417115398,0.8716013357097662,A070
1.0,what,0.8879417706748277,0.8716013357097662,A071
1.0,what,0.8896268784699382,0.8716013357097662,A072
1.0,what,0.8630035474494345,0.8716013357097662,A073
1.0,what,0.8434701937163193,0.8716013357097662,A074
1.0,what,0.804802962048871,0.8716013357097662,A075
1.0,what,0.5411460895020156,0.8716013357097662,A076
1.0,what,0.9343206838318695,0.8716013357097662,A077
1.0,what,0.8116348901013867,0.8716013357097662,A078
1.0,what,0.7526817465364629,0.8716013357097662,A079
1.0,what,0.8903074745361045,0.8716013357097662,A080
1.0,what,0.9420293015319168,0.8716013357097662,A081
1.0,what,0.9066732152067588,0.8716013357097662,A082
1.0,what,0.9618117225773631,0.8716013357097662,A083
1.0,what,0.85801490219434,0.8716013357097662,A084
1.0,what,0.7607899925697214,0.8716013357097662,A085
1.0,what,0.9327259366767249,0.8716013357097662,A086
1.0,what,0.8984959144814471,0.8716013357097662,A087
1.0,what,0.8821271435351922,0.8716013357097662,A088
1.0,what,0.8949569647108034,0.8716013357097662,A089
1.0,what,0.8800563048141266,0.8716013357097662,A090
1.0,what,0.6976609391351717,0.8716013357097662,A091
1.0,what,0.6688855351198696,0.8716013357097662,A092
1.0,what,0.8003040836862724,0.8716013357097662,A093
1.0,what,0.7506044229854929,0.8716013357097662,A094
1.0,what,0.9195304162876139,0.8716013357097662,A095
1.0,what,0.7217173526156799,0.8716013357097662,A096
1.0,what,0.961858180554201,0.8716013357097662,A097
1.0,what,0.7997489230823138,0.8716013357097662,A098
1.0,what,0.9203730967758771,0.8716013357097662,A099
1.0,what,0.6089671847346702,0.8716013357097662,A100
1.0,what,0.47998748736680075,0.8716013357097662,A101
1.0,what,0.6657470403163762,0.8716013357097662,A102
1.0,what,0.9573490819650041,0.8716013357097662,A103
1.0,what,0.9649906483108701,0.8716013357097662,A104
1.0,what,0.9554855556935625,0.8716013357097662,A105
1.0,what,0.9709057953722285,0.8716013357097662,A106
1.0,what,0.6134727256109818,0.8716013357097662,A107
1.0,what,0.47550525068912314,0.8716013357097662,A108
1.0,what,0.7906229672296812,0.8716013357097662,A109
16.9,what,0.7955802216012745,0.8378412017137864,A054
17.16,what,0.6767485582661781,0.8373632675600988,A051
20.61,what,0.899457926024921,0.8311934365094825,A017
