UID,test,composite_ID,TSVR_hours,theta_accuracy,se_accuracy,theta_confidence,se_confidence,z_theta_accuracy,z_theta_confidence
A022,T3,A022_T3,74.46,-0.11233316,,-0.83548737,0.033312414,-0.12554368829003995,-0.46888152912091713
A022,T4,A022_T4,141.71,0.0056279004,,-1.0474674,0.033312414,-0.0005845956143972509,-0.9592147240089193
A023,T1,A023_T1,1.0,0.8812526,,-0.49011907,0.033312414,0.9269864826326936,0.329993449583624
A023,T2,A023_T2,25.63,-0.48242265,,-0.39423442,0.033312414,-0.5175887133379102,0.5517852229653802
A023,T3,A023_T3,72.2,0.13040453,,-0.5714011,0.033312414,0.13159439946303883,0.14197914721333726
A023,T4,A023_T4,145.07,0.004668119,,-0.39642394,0.033312414,-0.0016013159838502715,0.5467206216589685
A024,T1,A024_T1,1.0,0.33348504,,-0.5055459,0.033312414,0.34672264757860755,0.2943094899158473
A024,T2,A024_T2,29.57,0.10314593,,-0.64316475,0.033312414,0.10271868478178733,-0.024018092155504954
A024,T3,A024_T3,91.47,0.1529355,,-0.6282593,0.033312414,0.1554620178004383,0.010459858053971694
A024,T4,A024_T4,145.65,-0.7700928,,-0.67857015,0.033312414,-0.8223248763731659,-0.10591468825603238
A025,T1,A025_T1,1.0,0.99917114,,-0.18618394,0.033312414,1.0519005323883575,1.0330289351980013
A025,T2,A025_T2,23.33,1.6789465,,-0.5896764,0.033312414,1.7720035216359715,0.09970636219421683
A025,T3,A025_T3,72.94,-0.15189764,,-1.284663,0.033312414,-0.16745532850604816,-1.507874314072081
A025,T4,A025_T4,137.74,-1.1388493,,-1.0751715,0.033312414,-1.2129578318755363,-1.0232973636070772
A026,T1,A026_T1,1.0,1.0569059,,-0.36186954,0.033312414,1.1130604032896705,0.6266487608777335
A026,T2,A026_T2,26.48,0.062489662,,-0.53927004,0.033312414,0.05965048631332253,0.21630183367082143
A026,T3,A026_T3,75.46,0.7757372,,-0.5248772,0.033312414,0.8152113883549932,0.24959406039949875
A026,T4,A026_T4,147.65,-0.26765063,,-0.3616829,0.033312414,-0.29007535714808247,0.6270804797877361
A027,T1,A027_T1,1.0,0.9770042,,-0.21083377,0.033312414,1.0284185401071537,0.9760111590549083
A027,T2,A027_T2,28.26,0.3337341,,-0.37666333,0.033312414,0.34698648304699226,0.5924290925665148
A027,T3,A027_T3,74.58,-0.7031997,,-0.97083545,0.033312414,-0.7514633475439367,-0.7819565696724113
A027,T4,A027_T4,145.92,-0.8390413,,-1.0949106,0.033312414,-0.8953637416744017,-1.0689560795116546
A028,T1,A028_T1,1.0,1.5710772,,0.11992493,0.033312414,1.6577348823930786,1.741092521237951
A028,T2,A028_T2,22.82,-0.19436406,,-0.30235586,0.033312414,-0.21244106612478836,0.7643104682279127
A028,T3,A028_T3,72.26,-0.0985842,,-0.49256283,0.033312414,-0.1109790721276567,0.32434076310962207
A028,T4,A028_T4,138.91,-0.7637951,,-0.8265561,0.033312414,-0.815653565728154,-0.44822251631906346
A029,T1,A029_T1,1.0,1.7016916,,0.15784328,0.033312414,1.796097973221766,1.8288018479154757
A029,T2,A029_T2,28.43,0.3401657,,-0.3178071,0.033312414,0.35379963730084013,0.7285700455372408
A029,T3,A029_T3,93.26,1.2822845,,-0.24579473,0.033312414,1.3518095741517069,0.8951426017047107
A029,T4,A029_T4,143.14,0.7683035,,-0.6789598,0.033312414,0.8073366845834855,-0.1068159916919651
A030,T1,A030_T1,1.0,0.33380765,,-0.5649794,0.033312414,0.3470643963959833,0.15683324775107318
A030,T2,A030_T2,32.95,1.2043047,,-0.32012805,0.033312414,1.2692036275623348,0.7232014321415577
A030,T3,A030_T3,71.93,-0.12868379,,-0.6057995,0.033312414,-0.14286431835683394,0.062411853204389925
A030,T4,A030_T4,150.46,0.33196774,,-0.7230972,0.033312414,0.34511533385428333,-0.2089106671010105
A031,T1,A031_T1,1.0,2.2557483,,0.26328957,0.033312414,2.383024051099418,2.072710749451091
A031,T2,A031_T2,32.41,0.018638758,,-0.29601982,0.033312414,0.013198130270864373,0.7789664277356936
A031,T3,A031_T3,71.56,-0.04251805,,-0.7246792,0.033312414,-0.051586801406627456,-0.21257000762621375
A031,T4,A031_T4,143.85,-0.57443035,,-1.3181441,0.033312414,-0.6150547641871168,-1.585319791985093
A032,T1,A032_T1,1.0,0.8067235,,-0.3430531,0.033312414,0.8480359485975465,0.6701732624150641
A032,T2,A032_T2,57.18,-0.12246857,,-0.47822228,0.033312414,-0.1362803808324854,0.35751203729970094
A032,T3,A032_T3,80.16,0.6580906,,-0.64968324,0.033312414,0.6905854114222335,-0.03909607864105038
A032,T4,A032_T4,144.51,1.5530372,,-0.81169164,0.033312414,1.638624660560344,-0.41383938050157676
A033,T1,A033_T1,1.0,0.43369794,,-0.31503958,0.033312414,0.4528806713869024,0.7349716246082337
A033,T2,A033_T2,29.16,0.5100616,,-0.66543496,0.033312414,0.5337746005753456,-0.07553154472047896
A033,T3,A033_T3,72.6,0.9657034,,-0.22533582,0.033312414,1.016447320878364,0.9424663175482554
A033,T4,A033_T4,168.33,-0.40873924,,-0.6513037,0.033312414,-0.4395340398072934,-0.04284438138913582
A034,T1,A034_T1,1.0,2.0359054,,0.070721015,0.033312414,2.1501389852816977,1.627278437699291
A034,T2,A034_T2,26.08,0.65717703,,0.107155256,0.033312414,0.6896176439410955,1.7115548565338832
A034,T3,A034_T3,74.28,-0.10081277,,-0.19132395,0.033312414,-0.11333985189870867,1.0211395250254662
A034,T4,A034_T4,145.38,-0.1552254,,-0.76067644,0.033312414,-0.1709805076527278,-0.2958355949381422
A035,T1,A035_T1,1.0,-0.06479133,,-0.42354158,0.033312414,-0.07518144230145055,0.48399452873869353
A035,T2,A035_T2,44.76,0.7425775,,-0.41725877,0.033312414,0.7800844912980682,0.49852736138417564
A035,T3,A035_T3,79.98,-0.4961729,,-0.8161883,0.033312414,-0.53215469602946,-0.4242406511501612
A035,T4,A035_T4,152.47,-0.98961914,,-0.99934804,0.033312414,-1.0548746022893687,-0.8479093358326562
A036,T1,A036_T1,1.0,1.3283472,,-1.2653807,0.033312414,1.4006049408487524,-1.4632722269613798
A036,T2,A036_T2,21.63,-0.15242939,,-1.0273318,0.033312414,-0.16801862454039165,-0.9126388598627221
A036,T3,A036_T3,71.47,-0.39740184,,-1.4433892,0.033312414,-0.42752404928587184,-1.8750255252424535
A036,T4,A036_T4,143.85,-1.0100961,,-1.5601645,0.033312414,-1.0765663566164214,-2.1451396767170285
A037,T1,A037_T1,1.0,1.1801162,,-0.08707868,0.033312414,1.2435801463649347,1.2622703348053423
A037,T2,A037_T2,23.7,1.2522094,,-0.18395871,0.033312414,1.319950270790195,1.0381761376739167
A037,T3,A037_T3,72.08,0.29365978,,-0.68357,0.033312414,0.3045347566059729,-0.11747989288620812
A037,T4,A037_T4,143.66,-0.16601759,,-0.79580086,0.033312414,-0.18241294362617672,-0.3770822533011402
A038,T1,A038_T1,1.0,1.2059275,,-0.2467488,0.033312414,1.2709227000673329,0.8929357325423334
A038,T2,A038_T2,71.85,-0.16850944,,-0.44835788,0.033312414,-0.18505262246619336,0.42659168912073925
A038,T3,A038_T3,72.86,0.9667946,,-0.4034849,0.033312414,1.0176032562477586,0.5303878422184883
A038,T4,A038_T4,152.89,-0.017467948,,-0.23959932,0.033312414,-0.025050603726326653,0.909473268508282
A039,T1,A039_T1,1.0,2.174663,,0.1412702,0.033312414,2.2971283709234847,1.79046648554415
A039,T2,A039_T2,28.65,1.3026897,,0.119720794,0.033312414,1.3734253113214028,1.7406203321498013
A039,T3,A039_T3,98.84,0.567675,,-0.14256553,0.033312414,0.5948059118025113,1.13392312948241
A039,T4,A039_T4,246.24,0.72307914,,-0.52121466,0.033312414,0.7594293923526958,0.2580659194685115
A040,T1,A040_T1,1.0,-0.5069201,,-0.598243,0.033312414,-0.5435394729740699,0.07989087133251845
A040,T2,A040_T2,26.26,0.14172223,,-0.44592965,0.033312414,0.14358352128323504,0.43220845299148164
A040,T3,A040_T3,71.28,-1.6828778,,-0.73125327,0.033312414,-1.7892607874370556,-0.22777655678330824
A040,T4,A040_T4,143.53,-1.6119773,,-0.4674195,0.033312414,-1.7141541198621224,0.38250005919531166
A041,T1,A041_T1,1.0,1.1962991,,0.011227685,0.033312414,1.2607230958603317,1.4896638021441104
A041,T2,A041_T2,31.78,-1.1736511,,-0.3039493,0.033312414,-1.2498242464087106,0.760624665720656
A041,T3,A041_T3,75.74,0.2872409,,-0.28749505,0.033312414,0.29773507696530205,0.7986851611927338
A041,T4,A041_T4,141.84,0.1290578,,-0.5819944,0.033312414,0.13016777479292804,0.11747567566742284
A042,T1,A042_T1,1.0,-0.8806226,,-0.79731315,0.033312414,-0.939411849606413,-0.3805803469059819
A042,T2,A042_T2,28.93,-0.99250966,,-1.1420015,0.033312414,-1.0579366022013394,-1.1778825262488843
A042,T3,A042_T3,72.17,-0.17139933,,-0.847396,0.033312414,-0.18811395500345504,-0.49642750406317543
A042,T4,A042_T4,146.02,-1.260689,,-0.7720472,0.033312414,-1.3420256641944843,-0.3221374172329344
A043,T1,A043_T1,1.0,1.0349586,,0.3001954,0.033312414,1.089811081137255,2.158078005668073
A043,T2,A043_T2,25.62,0.5667534,,0.1664338,0.033312414,0.5938296379421426,1.8486726683760129
A043,T3,A043_T3,64.94,0.56906503,,-0.17432076,0.033312414,0.5962784052423202,1.0604697792762452
A043,T4,A043_T4,149.33,-0.36708274,,-0.558808,0.033312414,-0.3954062706401479,0.17110837677587726
A044,T1,A044_T1,1.0,-0.0888245,,-1.06982,0.033312414,-0.10064037855665124,-1.0109187537331041
A044,T2,A044_T2,47.66,-0.37333766,,-0.96534085,0.033312414,-0.4020322633644277,-0.7692469537117398
A044,T3,A044_T3,91.63,-1.308094,,-1.1876827,0.033312414,-1.3922429627521775,-1.2835481813689347
A044,T4,A044_T4,155.27,-1.7971689,,-1.5655587,0.033312414,-1.9103321995494305,-2.1576170564016377
A045,T1,A045_T1,1.0,-0.9017756,,-0.8722971,0.033312414,-0.961819749962723,-0.5540264954362101
A045,T2,A045_T2,24.66,-1.0143217,,-0.6572311,0.033312414,-1.081042640063007,-0.056555111496019494
A045,T3,A045_T3,72.23,-1.1242429,,-1.0510488,0.033312414,-1.1974849081406334,-0.9674988973066206
A045,T4,A045_T4,151.52,-1.2476392,,-0.6715156,0.033312414,-1.3282016856538625,-0.08959673585269914
A046,T1,A046_T1,1.0,-0.7687857,,-0.6608937,0.033312414,-0.8209402327502409,-0.06502710935165161
A046,T2,A046_T2,24.32,-1.3034526,,-1.000125,0.033312414,-1.3873262119974958,-0.8497065300263741
A046,T3,A046_T3,73.05,-1.624248,,-1.4650033,0.033312414,-1.7271527783456555,-1.9250213229958022
A046,T4,A046_T4,147.94,-1.154563,,-1.5674849,0.033312414,-1.2296037461112925,-2.1620725694987595
A047,T1,A047_T1,1.0,-0.7466336,,-0.57797015,0.033312414,-0.7974739608510768,0.12678420987004596
A047,T2,A047_T2,23.46,-0.5145792,,-0.80200624,0.033312414,-0.5516529485859933,-0.3914359818145953
A047,T3,A047_T3,76.85,-1.2429395,,-1.3837919,0.033312414,-1.3232231762554534,-1.7371703956073712
A047,T4,A047_T4,144.22,-1.600209,,-1.6884255,0.033312414,-1.701687666226082,-2.4418215193865005
A048,T1,A048_T1,1.0,1.0764405,,-0.29754767,0.033312414,1.1337538921706978,0.7754323421342828
A048,T2,A048_T2,23.91,-0.06019045,,-0.4682938,0.033312414,-0.07030761539314725,0.3804777068431086
A048,T3,A048_T3,81.15,0.14282681,,-0.55355513,0.033312414,0.14475363042026396,0.18325884457905345
A048,T4,A048_T4,146.3,0.09614354,,-0.6172761,0.033312414,0.09530087844812206,0.035865211313398496
A049,T1,A049_T1,1.0,2.1010969,,0.015095141,0.033312414,2.2191979668010275,1.498609654527322
A049,T2,A049_T2,27.12,-0.5321013,,-0.5101858,0.033312414,-0.5702145460347382,0.2835768893451197
A049,T3,A049_T3,111.38,0.37812865,,-0.24321106,0.033312414,0.3940147368532242,0.9011189154434919
A049,T4,A049_T4,168.86,0.034191336,,-0.5534761,0.033312414,0.029673363954395775,0.18344164968759122
A050,T1,A050_T1,1.0,-0.39878848,,-0.332139,0.033312414,-0.4289929516141503,0.6954187797514243
A050,T2,A050_T2,24.73,-0.71372736,,-0.4592812,0.033312414,-0.762615560292252,0.40132484490723475
A050,T3,A050_T3,93.39,-0.9261868,,-0.8918068,0.033312414,-0.9876791428232135,-0.5991545838335296
A050,T4,A050_T4,148.69,-1.1381246,,-0.8248155,0.033312414,-1.2121901390949277,-0.4441963164972121
A051,T1,A051_T1,1.0,1.5230782,,-0.13511,0.033312414,1.6068883448238203,1.151168592861594
A051,T2,A051_T2,17.16,-0.30774206,,-0.09387231,0.033312414,-0.33254520863874476,1.2465559191465325
