test,ECE,n_items,bin_0_error,bin_025_error,bin_05_error,bin_075_error,bin_1_error
1,0.0902523809523809,10500,0.5555555555555556,0.21413551401869158,0.007368244377307764,0.08656532456861132,0.09791621208815182
2,0.10228571428571426,10500,,0.20676015069066558,0.014370748299319669,0.11820049301561208,0.11452762923351156
3,0.09202857142857142,10500,,0.17662771285475798,0.011236413043478222,0.08905519176800747,0.10912554426705368
4,0.0938904761904762,10500,,0.16497772828507792,0.004304725692558409,0.06651480637813223,0.13586030664395232
