UID,cluster_label,intercept_z,slope_z
A010,1,0.4153891605264269,0.5313782475656522
A011,1,0.15876911652159803,0.7900671087385075
A012,1,0.3554023781056189,0.5659057057585939
A013,0,-0.30638756600516553,-0.3343773893544941
A014,1,0.574823437628303,0.6160924780053901
A015,1,1.3198871330656223,1.3859026395838867
A016,0,-0.5631197948473321,-0.16079897636117024
A017,1,2.204849033620165,1.3204466846729153
A018,1,0.7074831936789855,0.682187467322702
A019,2,-3.5860563580839213,-3.9144369171445716
A020,0,-0.2481694017920408,0.1393353804795337
A021,1,0.8385857317417198,0.48226932068648787
A022,2,-1.3617573865777581,-1.232496062621678
A023,0,0.5131465779843378,0.08934389046495478
A024,0,0.053593041149799236,-0.14555621382367873
A025,0,-0.45390532371137043,0.0647828480991011
A026,1,0.5667530442396655,0.29098726802571695
A027,0,-0.08685810163048278,0.20043299410495263
A028,1,0.8008319147389062,1.0698345271552485
A029,1,1.1202509885945797,1.2688821398984287
A030,0,0.2356116939010961,-0.14274022702644462
A031,1,0.3696764341841039,1.0690818375298488
A032,0,0.191618787198658,0.1437553600631717
A033,1,0.5157398428702346,0.33198102719772643
A034,1,1.3534967442843862,1.2585825078565545
A035,0,-0.09588298148691145,-0.10041203560164799
A036,2,-2.1364642440892276,-2.2107519200077212
A037,1,0.6043677087977891,0.6928747769047678
A038,1,0.9141927956518674,0.6112433343243644
A039,1,1.639027240641399,1.4874980006913054
A040,0,0.21201033524997429,-0.19990606314065681
A041,1,1.0563555947707421,1.0358422732048356
A042,0,-0.7966719655991148,-0.9452589787546114
A043,1,1.7478243369669337,1.759219471165947
A044,2,-1.7416565805728053,-1.7586992348164225
A045,0,-0.5660740304205171,-0.9400153925457864
A046,2,-1.6563224540896693,-1.150973685894574
A047,2,-1.4697734186014675,-0.94813197352226
A048,1,0.45529325249939,0.3296831848025736
A049,1,0.9575578405107538,0.9945218029259034
A050,0,0.019215471038234,0.08092727147655124
A051,1,0.6915773724935927,0.6704112735979277
A052,0,-0.25852591522760543,-0.14891572151925106
A053,0,-1.1538212165838593,-0.24489973736055237
A054,1,1.5143099027114115,1.291572919567538
A055,0,-0.5417333843307487,-0.01465698204622896
A056,0,-0.5315081627679747,-0.785199846824461
A057,0,0.2522452695330916,-0.005416348947409884
A058,0,-0.009412631758440329,0.3029472905115914
A059,0,-0.005700567656128074,-0.16769507421773303
A060,1,0.7339451868723353,0.17627379429324833
A061,1,2.056864177622659,2.1650867660727613
A062,0,0.015937205196369018,0.2697818228294242
A063,2,-2.221308856993599,-2.198855242094122
A064,1,0.45377787998048325,0.5355267822829256
A065,0,-0.35320355088764216,-0.7324320023346144
A066,0,-0.5791817470991054,-0.6736502194732136
A067,0,-0.48339748599728444,-0.3728003025204899
A068,1,1.3906802276504284,1.4065637853079183
A069,0,-0.6665454219474075,-0.8039382425341189
A070,0,-0.33275791438882374,-0.3120585789203503
A071,0,-0.45704108893717355,0.2248750377626868
A072,1,0.7326093115176547,0.7558955619546918
A073,0,-0.7088719252848252,-0.8338784032874741
A074,0,0.17707600535365917,0.469860561041956
A075,0,0.026810803272170867,-0.17598268994011085
A076,2,-1.0002306130846952,-1.1653789525700873
A077,1,0.3797322083271706,0.42129470837254607
A078,2,-1.1278936257220604,-1.3067457011863437
A079,0,0.3989853080773902,-0.00482972829505339
A080,0,0.04635593460502549,0.4190268698034414
A081,1,0.5564778154574066,0.43466556352166946
A082,0,0.24046291760068028,0.3350949634222475
A083,1,0.823762005032774,0.9187660521206907
A084,2,-2.102438042319389,-2.476453176230098
A085,1,0.8753278516677411,0.31491457173126647
A086,1,0.5866345018573739,0.695971188409935
A087,1,1.0422021768528302,0.8794854428617168
A088,1,0.8679698970286237,0.581200835738214
A089,1,0.5037243865658436,0.626153144989876
A090,2,-1.6267982201472886,-2.5576579630310317
A091,0,0.1897511188718279,0.22119467607532142
A092,0,-0.2980727975725888,-0.10765630794008495
A093,0,-0.7738185764640256,0.08465387542598124
A094,2,-0.9739001208433132,-0.9277068385567645
A095,0,0.09766859225522179,0.4643014540178076
A096,0,-0.6227340043324939,-0.11442130654520169
A097,2,-1.2036637264439014,-1.1186905748444749
A098,1,0.6413070851950523,0.38817600807963887
A099,1,1.4816166443081564,0.8491393881387804
A100,0,-0.7031640658445119,-0.5782622845663251
A101,2,-0.782118675606348,-1.2898354927736333
A102,0,-0.05616781423912332,-0.1350019309598551
A103,0,-0.16012782046448235,-1.0154304812171604
A104,1,0.8913615032715605,0.8445284723764969
A105,1,0.8117798321664961,1.250410964501763
A106,1,0.7184875510511617,0.6326026172591428
A107,2,-1.4138700186269448,-0.9260758680847756
A108,2,-1.1506276152028632,-0.9746684319120774
A109,2,-1.7334582882750496,-1.5696864394260128
