UID,intercept,slope
A010,0.1068199345961465,0.0540005041435984
A011,0.040828476653632,0.0802893652019194
A012,0.0913939562997862,0.0575093044337072
A013,-0.0787894891630478,-0.033980592322105
A014,0.1478194614755265,0.0626094586366361
A015,0.3394172757172741,0.1408402424719638
A016,-0.1448097961419019,-0.0163409507804607
A017,0.5669907930847401,0.1341883808638042
A018,0.1819337519084208,0.0693262611419167
A019,-0.9221769416013692,-0.3977986828262175
A020,-0.0638183221598634,0.0141597455774764
A021,0.2156475939439285,0.0490098843326165
A022,-0.3501844746880475,-0.1252505330082179
A023,0.1319588691940268,0.009079436633623
A024,0.0137817875246792,-0.0147919282803178
A025,-0.1167246081487646,0.0065834581547815
A026,0.1457441090690099,0.0295711374049343
A027,-0.0223361069979664,0.0203686973982522
A028,0.2059389625056778,0.1087203024987844
A029,0.2880795858545966,0.1289482126286274
A030,0.0605890286128474,-0.01450575791597
A031,0.0950646195756241,0.1086438115633322
A032,0.0492759760269462,0.0146089192629148
A033,0.1326257435658831,0.0337370656719853
A034,0.3480601985793931,0.1279015282276329
A035,-0.0246569116014858,-0.0102042200060213
A036,-0.549405214453347,-0.2246642928342592
A037,0.1554169565811181,0.0704123426817881
A038,0.2350904258455925,0.062116671804206
A039,0.4214861611331776,0.1511647161281304
A040,0.0545197908303833,-0.0203151488424896
A041,0.2716484835586012,0.1052658915237233
A042,-0.2048692054266233,-0.0960605023499865
A043,0.4494640185693611,0.1787779962341394
A044,-0.447877941229763,-0.1787251280083947
A045,-0.1455694963957778,-0.0955276308971294
A046,-0.4259337340236918,-0.1169659457816697
A047,-0.3779614765276847,-0.0963524660623998
A048,0.1170815227638988,0.0335035509424132
A049,0.2462420198104295,0.1010667617386125
A050,0.0049413792043513,0.0082241105628993
A051,0.1778434699748036,0.0681295234114135
A052,-0.0664815647115687,-0.0151333331271784
A053,-0.2967123810716123,-0.0248875623770632
A054,0.3894143134619401,0.1312541285127582
A055,-0.1393101461998268,-0.0014894934509382
A056,-0.1366806661787728,-0.079794737131686
A057,0.064866457178528,-0.0005504282027308
A058,-0.0024205174433056,0.0307865564529754
A059,-0.0014659368179393,-0.0170417562097081
A060,0.188738619851087,0.0179135555562317
A061,0.5289355568363013,0.2200236411975393
A062,0.0040983525293822,0.0274161663717104
A063,-0.5712235401645778,-0.2234553110817854
A064,0.1166918351920005,0.0544220926584017
A065,-0.0908285140544597,-0.0744322853977718
A066,-0.1489402281609909,-0.0684586763471247
A067,-0.124308703127285,-0.0378852622839162
A068,0.3576221651366905,0.1429398999012872
A069,-0.1714063464909634,-0.0816989980226792
A070,-0.0855707900666393,-0.0317124772442851
A071,-0.1175309898942696,0.0228525828148347
A072,0.1883950911036475,0.0768167338660561
A073,-0.1822908729732063,-0.0847416212053713
A074,0.0455362082305018,0.0477488630550779
A075,0.0068945666477524,-0.0178839725202309
A076,-0.2572155916041856,-0.1184298590418838
A077,0.0976505251272151,0.0428134323325626
A078,-0.290044938048826,-0.1327960393087492
A079,0.102601580791463,-0.000490813773436
A080,0.0119207200697693,0.0425829666960617
A081,0.14310176937702,0.0441722250987164
A082,0.061836551291687,0.0340535146925568
A083,0.211835579409139,0.0933681990782114
A084,-0.540655162711498,-0.2516657778467278
A085,0.2250960611173315,0.0320027131587706
A086,0.1508567509099964,0.0707270107794776
A087,0.2680088431443273,0.0893763670587981
A088,0.2232039168150684,0.0590636486953046
A089,0.1295358934240274,0.0636318585780563
A090,-0.4183413916170444,-0.2599180904813018
A091,0.0487956933728046,0.0224785716703082
A092,-0.0766512941773521,-0.0109404081360798
A093,-0.1989923127084388,0.0086028210067962
A094,-0.2504445399581958,-0.0942767928665347
A095,0.0251160926384758,0.0471839272804814
A096,-0.1601399649651224,-0.011627890803804
A097,-0.3095296958917923,-0.1136852238476885
A098,0.1649161494964495,0.0394477949159185
A099,0.3810070364883551,0.0862924955203695
A100,-0.1808230610271132,-0.0587650229132733
A101,-0.2011267353939051,-0.1310775651641205
A102,-0.0144439066147708,-0.0137193653778437
A103,-0.0411778759160746,-0.1031915742876334
A104,0.2292192154468447,0.0858239182369228
A105,0.2087542883126803,0.1270711075944746
A106,0.184763591602068,0.064287276363026
A107,-0.3635855657036929,-0.0941110479792831
A108,-0.2958911263951257,-0.099049193182489
A109,-0.4457696988145384,-0.1595169908905653
