cluster_label,N,mean_intercept,sd_intercept,mean_slope,sd_slope,phenotype
0,42,-0.055976594154560584,0.09802902472023108,-0.016177192204202013,0.04129874979062899,Resilient
1,41,0.22849718837362956,0.12099511781950198,0.0852970978728968,0.044330372392391425,Resilient
2,17,-0.4127863393427815,0.17037102585499414,-0.16574934942425223,0.08210796449696461,Vulnerable
