K,SSE,BIC,silhouette,optimal
2,79.17397497428655,-14.141913625788135,0.5382600308880476,False
3,46.66384594709183,-62.40453922849551,0.45868365583875786,True
4,30.298417358970266,-100.98678997746214,0.45950807484459416,False
5,20.842517032077705,-133.79166882062185,0.4654395462048446,False
6,15.907308187010685,-156.20813367989678,0.4527970125291722,False
