model_name,ICC_intercept,ICC_slope_simple,ICC_slope_conditional
PowerLaw_01,0.004851969708309755,0.19466449399858735,0.9621870419696618
Log,0.18942778545240863,0.0010251741496650581,0.023392208021576995
Log10,0.21998108266113842,0.039460705327686085,0.7421540091520263
Log2,0.1845725470275772,0.002277739733501082,0.19865618074310123
PowerLaw_02,0.009145658938616531,0.2216698581870607,0.9676759331923629
SquareRoot,0.19174499625870833,0.0007625656930870898,0.040696447398999656
