model_name,var_intercept,var_slope,cov_intercept_slope,var_residual
PowerLaw_01,0.0027311328378767053,0.1354011426187968,-0.00011033431203754796,0.560160435343024
Log,0.13079744155083858,0.0005743681933906719,-0.00866734067560922,0.5596896548297492
Log10,0.15648876991413577,0.02279568697318761,-0.04673583808870487,0.5548849901431916
Log2,0.12663838458167112,0.0012772562051909242,-0.005964677052917037,0.5594787364154723
PowerLaw_02,0.005184751804345871,0.15997995869818393,-0.0014490710100312275,0.5617237497202224
SquareRoot,0.13281509087807705,0.0004272483100651862,-0.007506823770082701,0.5598501336103825
