iter_2000_RAVLT,iter_2000_BVMT,iter_2000_NART,iter_2000_RPM
0.0005714396296265888,-0.00013786334942444403,-0.0002932175564306457,0.00020819457193089043
0.00019341143760843966,-0.0011141903760478826,0.0001744963172317593,-0.0002242868978758617
0.00040874170247373327,-0.000998823557156585,-0.0005060781472148271,0.0007203272452244979
0.0003458875691803325,0.00011671136373921965,0.0008018223648093194,8.669225967999021e-05
0.0005308217703015667,-0.0006978038547459727,0.0004409286722926114,0.0005101881212272279
0.00023849200230990377,-0.0005688683787477662,7.3390214781133e-05,-0.00019655273609879648
0.0002660434886923375,-0.000446245969222073,0.0002693310383755171,0.00024121713462252624
0.00022535621307389025,-0.0013133130940219248,-0.0001891727876760149,-0.00045779323726784
4.1007110675129864e-05,-0.0006607037023411672,-0.0011596449911307708,-0.0005284324426853256
0.00022075511780313522,-0.0006885213692154427,0.00015796700480191932,0.0008197398508777618
0.00044753009040065703,-0.0004109105475406703,-0.0010642980122798054,-0.00048149928509520713
0.0001436519966032061,-0.00026507020397912033,0.00019083744444545572,0.00014756623968438873
-0.00024071007828970032,-0.0009472970530543192,-0.0005945999011011165,-0.0005131120761199836
0.0005956271639987377,-0.0007443485794778513,0.0007440810782968927,8.637527247583841e-05
0.00032682642288218847,-0.0004330231432861317,-0.0009743951423824254,0.0003033909026233258
0.00045524135339692826,0.00036739887209609576,0.0004593213982972447,0.0004482281571576454
-0.0005504851285750548,-0.00023487131155501973,-0.0004020907250200306,7.500848860276283e-05
6.550356361948364e-05,-0.0006065254960631683,-0.00032439775471335,0.00039870031148224976
-0.00030930973514152943,-0.00020728106696285065,-0.0005815623281128068,6.793824338624022e-05
0.0002389655245032278,-0.0007609890777268001,-0.0006636570625539685,1.2124231506868032e-05
0.000662538901320659,-0.000467065141113787,1.689705780643707e-05,1.7993608890203342e-05
0.00019437133287814946,-0.0005625057881993561,-0.0002658942139383818,0.00028621396189779964
-0.00011624327977011303,-0.0012990017384749964,1.816776603501588e-05,-0.0005880413642961508
-0.00020621132673643119,2.566569671560851e-05,9.309545105361793e-05,0.0007362869081211571
0.0005162723705342505,-3.5153496453139266e-05,0.0002408792233219773,8.118975370550527e-06
0.00010976587042589521,-0.00047574430816515816,0.0004896679607380397,0.00040849460030322404
0.00016001060304950354,-0.0009060298168634626,-0.0003736381066183215,-0.0003426544923492443
0.0005769020415052277,-0.00019338910950633589,-6.220479802135339e-05,0.00026487234398008913
0.0003561113623725175,-0.000954214702572487,-0.0002161088489771321,0.0001624722874125009
-8.688129112535997e-05,-0.0007563268292095544,-0.00010879822805684757,-0.0002864606384943392
-0.0004219518036114804,-0.000714950873511777,-0.0004797041074024013,5.2374892073456524e-05
-0.00047504656139723644,-0.0006666689826230732,4.1192052883016937e-05,-6.601988657656054e-05
0.0005785901016577391,0.00023710600396892608,2.8380267104446958e-05,0.00039219991159617385
0.00045347013789581606,-0.0008868577048993502,-0.00023716075436473554,0.0004625118887337556
