test_name,R2_full,R2_reduced,cohens_f2,interpretation
RAVLT,0.08644151136098799,0.08583446584250776,0.0006644845688912452,negligible
BVMT,0.15003863103950765,0.1321956970565542,0.020992641118237475,small
NART,0.061709582474373637,0.05943901013339814,0.002419903580560102,negligible
RPM,0.21274175271466822,0.21260715254161522,0.00017097334136179201,negligible
