test_name,bootstrap_coef_mean,CI_2.5,CI_97.5,n_iterations,includes_zero
RAVLT,0.00010122807783378431,-0.0006624729638648371,0.0008153874300284514,2000,True
BVMT,-0.0006179164288897447,-0.0014065423053680364,0.00023734901726110168,2000,True
NART,-0.0002567574775019338,-0.0013090613254900195,0.0005628004494481914,2000,True
RPM,6.283637710673091e-05,-0.0008213536193342181,0.0008828529639219055,2000,True
