model,n_obs,R2,adj_R2,F_stat,F_p,interaction_coef,interaction_se,interaction_t,interaction_p_uncorr,interaction_p_bonf,VIF_age,VIF_test,VIF_interaction,significant
Age x RAVLT,100,0.08644151136098799,0.05789280859101886,3.0278612677251755,0.0331973320902737,0.00011264506621488427,0.0004459992292243649,0.2525678495247285,0.8011421731896147,1.0,1.09286051758299,1.1041283639210138,1.0213671475723736,False
Age x BVMT,100,0.15003863103950765,0.12347733825949225,5.648769895432052,0.0013150625736680088,-0.000635420247024768,0.0004476018696148332,-1.4196103505366382,0.15896026486069775,0.635841059442791,1.460801295475146,1.6924943141892834,1.1969853550678546,False
Age x NART,97,0.061709582474373637,0.03144214965096637,2.038811247535026,0.11380817025154899,-0.00021893391029231813,0.0004615008747467214,-0.47439543947229207,0.63632995645134,1.0,1.1332582404040437,1.1129649795720078,1.0194762430077822,False
Age x RPM,100,0.21274175271466822,0.18813993248700156,8.647398881300006,3.886553253269293e-05,5.9299529987366564e-05,0.000462861901301,0.1281149513941178,0.8983260044041749,1.0,1.0942516245330476,1.102703342498844,1.0091215713289379,False
