,Age_c,RAVLT_c,BVMT_c,NART_c,RPM_c,Age_c_x_RAVLT_c,Age_c_x_BVMT_c,Age_c_x_NART_c,Age_c_x_RPM_c
Age_c,1.0,-0.2869600259565524,-0.5454815482953167,0.3170562407115059,-0.293363950323408,-0.08937955280500438,-0.08222585085150731,0.13431430105591166,-0.036160830458269955
RAVLT_c,-0.2869600259565524,1.0,0.3357870284647048,0.17715693611620653,0.28513644478976574,0.13458222075151693,0.08857154506070837,-0.007921698558527764,0.1481031660157244
BVMT_c,-0.5454815482953167,0.3357870284647048,1.0,-0.03379299906377969,0.4881396791745485,0.0921555144949239,0.37779617497598855,-0.038043849080354054,0.138387733027071
NART_c,0.3170562407115059,0.17715693611620653,-0.03379299906377969,1.0,0.08017705932293931,-0.009524274525668725,-0.03457172756930168,0.011651506700557377,0.02310414213574581
RPM_c,-0.293363950323408,0.28513644478976574,0.4881396791745485,0.08017705932293931,1.0,0.13167952438371722,0.11825632930735801,0.020621931982399862,0.0946685120139437
Age_c_x_RAVLT_c,-0.08937955280500438,0.13458222075151693,0.0921555144949239,-0.009524274525668725,0.13167952438371722,1.0,0.34871980297528776,0.2202941105201838,0.322676656337811
Age_c_x_BVMT_c,-0.08222585085150731,0.08857154506070837,0.37779617497598855,-0.03457172756930168,0.11825632930735801,0.34871980297528776,1.0,-0.00336998161875869,0.44448617801947343
Age_c_x_NART_c,0.13431430105591166,-0.007921698558527764,-0.038043849080354054,0.011651506700557377,0.020621931982399862,0.2202941105201838,-0.00336998161875869,1.0,0.06333556484012093
Age_c_x_RPM_c,-0.036160830458269955,0.1481031660157244,0.138387733027071,0.02310414213574581,0.0946685120139437,0.322676656337811,0.44448617801947343,0.06333556484012093,1.0
