model,shapiro_p,breusch_pagan_p,max_cooks_d,n_outliers,normality_ok,homosced_ok,outliers_ok
Age x RAVLT,0.36490630110362815,0.7669997895172118,0.07383668450287159,7,True,True,False
Age x BVMT,0.3408039061608486,0.40047519334666093,0.11948639715046112,6,True,True,False
Age x NART,0.26017413189404315,0.22510134302792803,0.10626801602807741,6,True,True,False
Age x RPM,0.9626184744644027,0.22853248445774277,0.0846158491001936,6,True,True,False
