test_name,intercept,age_coef,test_coef,interaction_coef,age_p,test_p,interaction_p_uncorr,interaction_p_bonf
RAVLT,0.010845275972429937,-0.005848397768810951,0.01535789697936571,0.00011264506621488427,0.21979554422156192,0.02924226817747486,0.8011421731896147,1.0
BVMT,-0.04384759095627342,0.0015278445434072623,0.02956122883584795,-0.000635420247024768,0.772943770853733,0.0005645452126042185,0.15896026486069775,0.635841059442791
NART,0.029824144740974026,-0.010288524380072116,0.010791107510954311,-0.00021893391029231813,0.033091729629407526,0.12205050366288363,0.63632995645134,1.0
RPM,0.008690627939552973,-0.0030050513694029196,0.029569330179106377,5.9299529987366564e-05,0.4961121580828636,1.3233763869496941e-05,0.8983260044041749,1.0
