UID,n_responses,mean_confidence,sd_confidence,pct_1,pct_2,pct_3,pct_4,pct_5,pct_6,pct_endpoints,ERS_flag,restricted_range_flag
A010,420,4.140476190476191,1.635460205252324,0.0,21.904761904761905,24.761904761904763,7.6190476190476195,8.80952380952381,36.904761904761905,36.904761904761905,False,False
A011,420,4.571428571428571,1.446629811359803,0.0,12.619047619047619,14.047619047619047,17.142857142857142,15.95238095238095,40.23809523809524,40.23809523809524,False,False
A012,420,4.352380952380952,1.484886163639511,0.0,13.095238095238097,23.333333333333332,14.761904761904763,12.857142857142856,35.95238095238095,35.95238095238095,False,False
A013,420,3.8119047619047617,1.5310162255940212,0.0,28.57142857142857,19.523809523809526,16.904761904761905,12.142857142857142,22.857142857142858,22.857142857142858,False,False
A014,420,4.833333333333333,1.3020392792865705,0.0,7.142857142857142,11.190476190476192,17.857142857142858,18.80952380952381,45.0,45.0,False,False
A015,420,4.4904761904761905,1.7862922124240583,0.0,29.523809523809526,3.3333333333333335,10.476190476190476,1.9047619047619049,54.761904761904766,54.761904761904766,True,False
A016,420,4.195238095238095,1.4309821686665802,0.0,17.142857142857142,18.80952380952381,15.476190476190476,24.523809523809522,24.047619047619047,24.047619047619047,False,False
A017,420,5.002380952380952,1.6972514767389797,0.0,23.333333333333332,0.4761904761904762,2.142857142857143,0.7142857142857143,73.33333333333333,73.33333333333333,True,False
A018,420,3.6095238095238096,1.7909623982878364,0.0,47.61904761904761,11.190476190476192,6.904761904761905,1.1904761904761905,33.095238095238095,33.095238095238095,False,False
A019,420,3.7,0.7216396075260545,0.0,3.0952380952380953,36.19047619047619,48.333333333333336,12.380952380952381,0.0,0.0,False,True
A020,420,3.7452380952380953,1.6579457025855522,0.0,37.857142857142854,13.095238095238097,12.142857142857142,10.476190476190476,26.42857142857143,26.42857142857143,False,False
A021,420,4.65952380952381,1.4576863224666055,0.0,9.047619047619047,20.238095238095237,13.80952380952381,9.523809523809524,47.38095238095238,47.38095238095238,False,False
A022,420,3.0285714285714285,1.4373612979527344,0.0,60.476190476190474,7.857142857142857,9.523809523809524,12.619047619047619,9.523809523809524,9.523809523809524,False,False
A023,420,4.538095238095238,1.4396287609756706,0.2380952380952381,13.333333333333334,10.952380952380953,21.904761904761905,15.0,38.57142857142858,38.80952380952381,False,False
A024,420,4.190476190476191,1.5562345970804436,0.0,17.38095238095238,25.952380952380956,11.904761904761903,9.761904761904763,35.0,35.0,False,False
A025,420,3.816666666666667,1.5957007672941186,0.0,31.428571428571427,16.666666666666664,17.61904761904762,7.380952380952381,26.904761904761905,26.904761904761905,False,False
A026,420,4.404761904761905,1.5929367335863573,0.0,21.666666666666668,9.285714285714286,16.19047619047619,12.619047619047619,40.23809523809524,40.23809523809524,False,False
A027,420,4.057142857142857,1.5637820345622027,0.0,25.952380952380956,13.333333333333334,17.857142857142858,14.761904761904763,28.095238095238095,28.095238095238095,False,False
A028,420,4.219047619047619,1.59342894326973,0.0,15.0,32.38095238095238,9.047619047619047,2.857142857142857,40.714285714285715,40.714285714285715,False,False
A029,420,4.769047619047619,1.3222870357403187,0.0,2.380952380952381,22.857142857142858,18.571428571428573,7.857142857142857,48.333333333333336,48.333333333333336,False,False
