RQ,Domain,M1_ICC_slope,M1_converged,M2_ICC_slope,M2_converged,M3_ICC_slope,M3_converged,Diff_M1_M3,Stability
6.3.4,What,0.5895447252627264,False,0.0,True,5.563913850615154e-05,True,0.5894890861242202,UNSTABLE
6.3.4,Where,0.5895931035089618,False,0.0,True,3.494726114683564e-05,True,0.5895581562478149,UNSTABLE
6.3.4,When,1.2246127179421651e-05,True,0.0,True,1.0037943711330446e-05,True,2.208183468091205e-06,STABLE
6.8.1,Source,0.05898840631707792,True,0.0,True,0.05903951282488079,True,5.110650780287135e-05,STABLE
6.8.1,Destination,0.00044363357988657314,True,0.0,True,0.027333501900396816,True,0.026889868320510244,STABLE
