model,r_squared,adj_r_squared,bootstrap_ci_lower,bootstrap_ci_upper,difference,difference_ci_lower,difference_ci_upper,p_value
intercept,0.24321310245494754,0.21956351190666468,0.1140012349128462,0.42649729299943717,,,,
slope,0.07352306198347613,0.04457065767045976,0.015516386237106128,0.22985078183205404,,,,
difference,0.1696900404714714,,,,0.1696900404714714,-0.05213130322549976,0.37176152543244073,0.067
