source,TSVR_hours,theta,CI_lower,CI_upper,Segment
Observed,1.0,0.6606513171499999,0.48798387369657914,0.8333187606034207,
Observed,26.37,0.10534006147,-0.060492117869693024,0.27117224080969304,
Observed,74.53,-0.24143969939999999,-0.40032158512337146,-0.08255781367662854,
Observed,147.13,-0.49983265062599996,-0.6613775016678825,-0.3382877995841175,
Quadratic,0.0,0.6272054520111994,0.6272054520111994,0.6272054520111994,
Quadratic,24.0,0.2583809722257838,0.1716498113754697,0.3451121330760979,
Quadratic,48.0,-0.0383958944728473,-0.2164236180547384,0.1396318291090438,
Quadratic,72.0,-0.2631251480846941,-0.5412057267770138,0.0149554306076255,
Quadratic,96.0,-0.4158067886097563,-0.8062559843813042,-0.0253575928382084,
Quadratic,120.0,-0.496440816048034,-1.0144099485839173,0.0215283164878491,
Quadratic,144.0,-0.5050272303995278,-1.1678208569648696,0.1577663961658139,
Quadratic,168.0,-0.4415660316642365,-1.2680721165779492,0.3849400532494761,
Quadratic,192.0,-0.3060572198421614,-1.316306588212642,0.7041921485283194,
Quadratic,216.0,-0.098500794933301,-1.3133424409127243,1.1163408510461224,
Quadratic,240.0,0.1811032430623428,-1.2597650403959806,1.6219715265206665,
Piecewise,0.0,0.6563353945785987,-0.4442203111562944,1.7568911003134915,Early
Piecewise,6.0,-1.9361703545753743,-3.036726060310268,-0.8356146488404814,Early
Piecewise,12.0,-4.528676103729348,-5.62923180946424,-3.4281203979944546,Early
Piecewise,18.0,-7.12118185288332,-8.221737558618214,-6.020626147148427,Early
Piecewise,24.0,-9.713687602037291,-10.814243307772186,-8.6131318963024,Early
Piecewise,30.0,-12.306193351191268,-13.40674905692616,-11.205637645456374,Early
Piecewise,36.0,-14.898699100345238,-15.999254806080131,-13.798143394610346,Early
Piecewise,42.0,-17.491204849499216,-18.59176055523411,-16.39064914376432,Early
Piecewise,48.0,-20.083710598653187,-21.18426630438808,-18.983154892918293,Early
Piecewise,48.0,-0.2033583033855551,-1.3039140091204482,0.897197402349338,Late
Piecewise,72.0,-1.8759617240912971,-2.9765174298261905,-0.7754060183564042,Late
Piecewise,96.0,-3.54856514479704,-4.649120850531933,-2.4480094390621465,Late
Piecewise,120.0,-5.221168565502782,-6.321724271237676,-4.120612859767888,Late
Piecewise,144.0,-6.893771986208525,-7.994327691943418,-5.793216280473631,Late
Piecewise,168.0,-8.566375406914267,-9.66693111264916,-7.465819701179374,Late
Piecewise,192.0,-10.238978827620008,-11.3395345333549,-9.138423121885117,Late
Piecewise,216.0,-11.91158224832575,-13.012137954060645,-10.811026542590858,Late
Piecewise,240.0,-13.584185669031491,-14.684741374766386,-12.4836299632966,Late
