source,TSVR_hours,theta,CI_lower,CI_upper,Segment
Observed,1.0,0.6606513171499999,0.48798387369657914,0.8333187606034207,
Observed,26.37,0.10534006147,-0.060492117869693024,0.27117224080969304,
Observed,74.53,-0.24143969939999999,-0.40032158512337146,-0.08255781367662854,
Observed,147.13,-0.49983265062599996,-0.6613775016678825,-0.3382877995841175,
Quadratic,0.0,0.6123920508832907,0.6123920508832907,0.6123920508832907,
Quadratic,24.0,0.2668406442024916,0.1865542063814342,0.3471270820235489,
Quadratic,48.0,-0.0161395401470588,-0.1814348040409534,0.1491557237468357,
Quadratic,72.0,-0.2365485021653606,-0.4958677342415717,0.0227707299108504,
Quadratic,96.0,-0.394386241852414,-0.7603262793495376,-0.0284462043552904,
Quadratic,120.0,-0.4896527592082185,-0.9775990637731498,-0.0017064546432873,
Quadratic,144.0,-0.5223480542327744,-1.1497512756734145,0.1050551672078657,
Quadratic,168.0,-0.492472126926082,-1.2782643157784996,0.2933200619263356,
Quadratic,192.0,-0.4000249772881409,-1.36418298708725,0.5641330325109681,
Quadratic,216.0,-0.2450066053189507,-1.4082399661608849,0.9182267555229834,
Quadratic,240.0,-0.0274170110185123,-1.4109500990446582,1.3561160770076337,
Piecewise,0.0,0.6563353945785987,-0.4442203111562944,1.7568911003134915,Early
Piecewise,6.0,0.5483143216971831,-0.5522413840377101,1.6488700274320762,Early
Piecewise,12.0,0.4402932488157676,-0.6602624569191256,1.5408489545506607,Early
Piecewise,18.0,0.332272175934352,-0.768283529800541,1.4328278816692452,Early
Piecewise,24.0,0.2242511030529365,-0.8763046026819566,1.3248068087878295,Early
Piecewise,30.0,0.116230030171521,-0.984325675563372,1.2167857359064145,Early
Piecewise,36.0,0.0082089572901054,-1.0923467484447875,1.1087646630249983,Early
Piecewise,42.0,-0.0998121155913102,-1.2003678213262037,1.0007435901435828,Early
Piecewise,48.0,-0.2078331884727257,-1.308388894207619,0.8927225172621674,Early
Piecewise,48.0,-0.2033583033855551,-1.3039140091204482,0.897197402349338,Late
Piecewise,72.0,-0.2730501125816277,-1.373605818316521,0.8275055931532653,Late
Piecewise,96.0,-0.3427419217777003,-1.4432976275125935,0.7578137839571928,Late
Piecewise,120.0,-0.4124337309737729,-1.512989436708666,0.6881219747611202,Late
Piecewise,144.0,-0.4821255401698455,-1.5826812459047388,0.6184301655650476,Late
Piecewise,168.0,-0.5518173493659182,-1.6523730551008111,0.5487383563689749,Late
Piecewise,192.0,-0.6215091585619907,-1.722064864296884,0.4790465471729024,Late
Piecewise,216.0,-0.6912009677580633,-1.7917566734929564,0.4093547379768298,Late
Piecewise,240.0,-0.7608927769541359,-1.861448482689029,0.3396629287807572,Late
