predictor,beta,se,ci_lower,ci_upper,p_value,t_statistic,vif,cooks_d_max
intercept,0.036789546436750004,0.05958300605407602,-0.08148178581444858,0.1550608786879486,0.5383995897675435,0.6174503247345517,,0.14315387276315233
RAVLT_T,0.07695978537413568,0.06395491975589924,-0.04998972698654948,0.20390929773482086,0.2318022265370903,1.2033442566713073,1.1521342737132159,0.14315387276315233
BVMT_T,0.09313337502635552,0.07023645376814826,-0.04628488380099244,0.23255163385370348,0.18798684025983012,1.3259976839632364,1.3895696865741471,0.14315387276315233
RPM_T,0.2326521538133111,0.06902376821208511,0.09564105678956877,0.3696632508370534,0.001081693665225743,3.370609281986099,1.3419999805599174,0.14315387276315233
