predictor,beta,se,ci_lower,ci_upper,p_value,t_statistic,vif,cooks_d_max
intercept,-0.0072221286636249896,0.056106456873753256,-0.11859256533361687,0.10414830800636687,0.8978470111742625,-0.12872188097487083,,0.14244121378443786
RAVLT_T,0.0952522640854891,0.060223278159079054,-0.024289998249251432,0.21479452642022964,0.11701824833884526,1.5816519292404079,1.1521342737132159,0.14244121378443786
BVMT_T,0.10545545943528334,0.06613829723078218,-0.025828022959194674,0.23673894182976135,0.11411818776780441,1.5944689211956624,1.3895696865741471,0.14244121378443786
RPM_T,0.20397032249168517,0.06499636945038573,0.07495354882619557,0.3329870961571748,0.0022582357256082496,3.138180243242412,1.3419999805599174,0.14244121378443786
