domain,r_squared,adj_r_squared,f_statistic,f_pvalue,effect_size,n,r2_ci_lower,r2_ci_upper,adj_r2_ci_lower,adj_r2_ci_upper
What,0.2497931352498587,0.2263491707264168,10.654901605915986,4.136916524520786e-06,medium,100,0.1270739819166364,0.42333012135166037,0.09979504385153132,0.4053091876438997
Where,0.2353559386701466,0.2114608117535886,9.849537083105371,1.0048564662603472e-05,medium,100,0.1304284705974181,0.4096358554173126,0.1032543603035874,0.39118697589910373
When,0.0882158714061183,0.0597226173875594,3.0960265664518247,0.0304921544407299,small,100,0.027645887770174953,0.2341124719140101,-0.0027401782370071346,0.21017848666132286
