domain,intercept_beta,RAVLT_T_beta,BVMT_T_beta,RPM_T_beta
What,-0.0072221286636249,0.0952522640854891,0.1054554594352833,0.2039703224916851
Where,0.03678954643675,0.0769597853741356,0.0931333750263555,0.2326521538133111
When,0.10869476563825,0.0295584708939266,0.0311514885154185,0.0475366387478375
