comparison,bootstrap_mean_diff,bootstrap_ci_lower,bootstrap_ci_upper
RAVLT: What vs Where,0.036614077990333865,-0.007745074173513397,0.08854095018995017
BVMT: Where vs What,-0.025861769182047006,-0.07466358596607535,0.01959418356526888
RPM: What vs Where,-0.004410812083853212,-0.04904443062328991,0.03949702147210434
