predictor,beta,se,ci_lower,ci_upper,p_value,t_statistic,vif,cooks_d_max
intercept,0.10869476563825002,0.02739237135404341,0.05432133824484218,0.16306819303165787,0.00013976252375843873,3.9680670298084832,,0.06768832378045143
RAVLT_T,0.029558470893926683,0.029402291490323276,-0.028804616437426978,0.08792155822528035,0.3172739779231475,1.0053118106000278,1.1521342737132159,0.06768832378045143
BVMT_T,0.031151488515418532,0.03229013021703029,-0.03294391338268027,0.09524689041351733,0.3371004471400364,0.9647371598083175,1.3895696865741471,0.06768832378045143
RPM_T,0.04753663874783753,0.031732616669338215,-0.015452107504626507,0.11052538500030157,0.13740462970921033,1.498037153480949,1.3419999805599174,0.06768832378045143
