domain,predictor,beta,p_value,effect_size_magnitude,significant
What,RAVLT_T,0.0952522640854891,0.1170182483388452,negligible,False
What,BVMT_T,0.1054554594352833,0.1141181877678044,small,False
What,RPM_T,0.2039703224916851,0.0022582357256082,small,True
Where,RAVLT_T,0.0769597853741356,0.2318022265370903,negligible,False
Where,BVMT_T,0.0931333750263555,0.1879868402598301,negligible,False
Where,RPM_T,0.2326521538133111,0.0010816936652257,small,True
When,RAVLT_T,0.0295584708939266,0.3172739779231475,negligible,False
When,BVMT_T,0.0311514885154185,0.3371004471400364,negligible,False
When,RPM_T,0.0475366387478375,0.1374046297092103,negligible,False
