domain,predictor,semi_partial_r2
What,RAVLT_T,0.019549318922220116
What,BVMT_T,0.019867440356149402
What,RPM_T,0.07696009030852047
Where,RAVLT_T,0.011533679151482623
Where,BVMT_T,0.0140046938025008
Where,RPM_T,0.09049090084517164
When,RAVLT_T,0.009598919834208908
When,BVMT_T,0.008839726113085589
When,RPM_T,0.021314049222070475
