comparison,r2_1,r2_2,r2_difference,direction
What vs Where,0.2497931352498587,0.2353559386701466,0.014437196579712097,What > Where
What vs When,0.2497931352498587,0.0882158714061183,0.16157726384374038,What > When
Where vs When,0.2353559386701466,0.0882158714061183,0.14714006726402828,Where > When
