term,estimate,std_error,t_value,p_value,ci_lower,ci_upper
Intercept,0.07432934379480352,0.0004903649668267926,151.57963725630145,4.817532318489564e-118,0.07335623047734473,-0.007974586635884061
Day0_confidence,-0.006267245130855173,0.0008603524846025431,-7.284508667108054,8.239342971559324e-11,0.07530245711226231,-0.004559903625826285
