tertile,N,mean_Day0_confidence,mean_forgetting_slope,sd_forgetting_slope,se_forgetting_slope
Low,34,-0.8423266897058824,0.08027042172259533,0.004101941352521531,0.0007034771382949917
Med,32,-0.3119572659375,0.07605304547260043,0.003755009740108569,0.0006637982126630761
High,34,0.008875448588235293,0.0738295076674149,0.0028670029888005887,0.000491686956178645
