UID,Day0_confidence,se_confidence,forgetting_slope,se_slope
A010,-0.13905293,0.033312414,0.0700275820211976,0.002241981382843223
A011,0.1330746,0.033312414,0.0758349689633162,0.002241981382843223
A012,-0.09271885,0.033312414,0.0752580900156745,0.002241981382843223
A013,-0.5214896,0.033312414,0.0789546680086063,0.002241981382843223
A014,-0.13213211,0.033312414,0.071456707061643,0.002241981382843223
A015,0.17578323,0.033312414,0.0667016404103386,0.002241981382843223
A016,-0.3108059,0.033312414,0.0740890008286143,0.002241981382843223
A017,-0.1695174,0.033312414,0.0758644223981031,0.002241981382843223
A018,-0.12740232,0.033312414,0.0783865049599273,0.002241981382843223
A019,-2.0066547,0.033312414,0.0841022145587535,0.002241981382843223
A020,-0.20167366,0.033312414,0.0809910583688367,0.002241981382843223
A021,-0.3146922,0.033312414,0.0724725246620712,0.002241981382843223
A022,-0.81380814,0.033312414,0.0772905662365634,0.002241981382843223
A023,-0.49011907,0.033312414,0.0769784852053531,0.002241981382843223
A024,-0.5055459,0.033312414,0.077128974131958,0.002241981382843223
A025,-0.18618394,0.033312414,0.0724775914221787,0.002241981382843223
A026,-0.36186954,0.033312414,0.0743731102035543,0.002241981382843223
A027,-0.21083377,0.033312414,0.0760668301715973,0.002241981382843223
A028,0.11992493,0.033312414,0.0750502852106532,0.002241981382843223
A029,0.15784328,0.033312414,0.0711931342324019,0.002241981382843223
A030,-0.5649794,0.033312414,0.0749205913186723,0.002241981382843223
A031,0.26328957,0.033312414,0.0722416171731812,0.002241981382843223
A032,-0.3430531,0.033312414,0.0743312515545835,0.002241981382843223
A033,-0.31503958,0.033312414,0.0746264769397493,0.002241981382843223
A034,0.070721015,0.033312414,0.0716106215522772,0.002241981382843223
A035,-0.42354158,0.033312414,0.0775049364116137,0.002241981382843223
A036,-1.2653807,0.033312414,0.0760753354865463,0.002241981382843223
A037,-0.08707868,0.033312414,0.072107788853554,0.002241981382843223
