dimension,CTT_type,AIC
Common,Full,1058.033716495594
Common,Purified,1075.2341496444865
Congruent,Full,1047.4444893167824
Congruent,Purified,1082.6384211143836
Incongruent,Full,1067.9614498661622
Incongruent,Purified,1065.9299873106056
