dimension,AIC_IRT,AIC_Full,AIC_Purified,delta_AIC_Full_Purified,improvement,N
Common,1047.6203857306382,1058.033716495594,1075.2341496444865,17.200433148892444,Yes,400
Congruent,1080.9867969874322,1047.4444893167824,1082.6384211143836,35.19393179760118,Yes,400
Incongruent,1040.4834797650892,1067.9614498661622,1065.9299873106056,-2.0314625555565726,Yes,400
