UID,cluster
A010,4
A011,3
A012,0
A013,2
A014,3
A015,5
A016,4
A017,0
A018,4
A019,1
A020,2
A021,4
A022,0
A023,0
A024,3
A025,4
A026,3
A027,3
A028,0
A029,5
A030,0
A031,3
A032,0
A033,0
A034,4
A035,2
A036,3
A037,0
A038,0
A039,5
A040,1
A041,0
A042,1
A043,0
A044,2
A045,2
A046,1
A047,1
A048,4
A049,4
A050,2
A051,3
A052,0
A053,4
A054,0
A055,2
A056,3
A057,1
A058,3
A059,5
A060,0
A061,4
A062,2
A063,4
A064,0
A065,1
A066,2
A067,1
A068,4
A069,1
A070,2
A071,3
A072,0
A073,5
A074,2
A075,2
A076,1
A077,0
A078,1
A079,3
A080,3
A081,3
A082,0
A083,0
A084,3
A085,3
A086,3
A087,4
A088,5
A089,4
A090,2
A091,2
A092,1
A093,4
A094,1
A095,4
A096,1
A097,3
A098,3
A099,0
A100,0
A101,1
A102,4
A103,3
A104,3
A105,3
A106,4
A107,1
A108,1
A109,2
