cluster,Common_Intercept,Common_Slope,Congruent_Intercept,Congruent_Slope,Incongruent_Intercept,Incongruent_Slope,N,label
0,0.1788996505356124,0.08359545928385313,0.21456659918327411,0.00011431426973316498,0.0004445909975432508,0.0003161890153033629,22,High
1,-0.5128069286757014,-0.5695547678221482,-0.44166707203315525,-0.0003276641043915834,0.0015756783023651512,-0.0006508439612942342,17,Low
2,-0.21130711028553772,-0.25169306281045145,-0.23947196818150496,-0.0001350210628701984,0.0005822945094251192,-0.0003528892699312246,15,Low
3,0.014913182246997234,0.12873275662216838,-0.059186902890453336,9.528440357707288e-06,-0.0006724028232907697,-8.722162152664438e-05,22,Medium
4,0.21813511021611015,0.35576343538535166,0.22465057890773843,0.00013937771598004477,-0.0015082191323501483,0.00033104743521933784,18,High
5,0.6161683561103105,0.3971440680440746,0.6063926680838989,0.00039371120134480236,-0.0005601907054725513,0.000893591648988705,6,High
