UID,cluster,data_type,Common_Intercept_z,Common_Slope_z,Congruent_Intercept_z,Congruent_Slope_z,Incongruent_Intercept_z,Incongruent_Slope_z,cluster_label
A010,4,participant,0.4191271442448249,1.4769689729403572,0.9086677512549872,0.4190868931941944,-1.562125329459588,0.908670582245398,High
A011,3,participant,-0.0330173110641612,-0.2366474663774919,-0.0430494278135029,-0.0330466301922748,0.1557718423294872,-0.0430520360787828,Medium
A012,0,participant,0.7193506443784284,-0.1240517708893767,0.5554463936255878,0.7194339184813177,0.0729741158817145,0.5554581506799285,High
A013,2,participant,-0.8542565996962999,-0.1150831561097947,-0.3976408259798584,-0.8542148688957404,0.0626212185955587,-0.3976351823467525,Low
A014,3,participant,0.4883033464162801,-0.0413457829889212,0.0246925946309674,0.4882746187649069,-0.1187752720408788,0.0246777764377114,Medium
A015,5,participant,1.5402165556317255,1.836344982565312,1.7792124429808722,1.540165469703322,-1.6941177965106948,1.779204217669493,High
A016,4,participant,0.5426222299262542,0.7492315233774125,1.159029648098887,0.5425647087742959,-2.1202863732211985,1.1590098804181312,High
A017,0,participant,0.5137190521301828,-0.8764973034395073,1.0768069504458386,0.513761000302071,1.3031718100600775,1.0768292553966197,High
A018,4,participant,0.209047427877695,0.6997031524974888,0.6741950889841264,0.2090572124030458,-0.7566232514726655,0.674196941398137,High
A019,1,participant,-1.132635990528748,-1.8151320665614428,-0.7328971558161357,-1.132591509549046,1.4703986602414414,-0.7328739726487805,Low
A020,2,participant,-0.5081046682006213,-1.349381206902715,-1.3757099401654187,-0.5081724617816772,-0.2863130878633665,-1.3757280126362543,Low
A021,4,participant,1.098465933917308,1.2728579237764488,0.6660522198621223,1.098498669558836,-1.3351299709095108,0.6660670081241805,High
A022,0,participant,0.1651429734659618,1.009037822582021,1.0042903363549225,0.1652035291708724,0.1287024400444935,1.0042974620045504,High
A023,0,participant,0.5572528244796568,-0.4127899398632387,0.0847970866530599,0.5572916743999643,1.4892606670809558,0.08479087132427,High
A024,3,participant,-0.0611738364353762,0.1438968893552167,-0.9048295248242324,-0.0611920911132393,-0.4651109148140654,-0.9048405825283352,Medium
A025,4,participant,0.7893770037265423,1.275568044413242,0.1347231846434751,0.7893209187425261,-1.455005181744317,0.1346975822454546,High
A026,3,participant,0.0473064569560955,1.074752186601919,0.2909953488961734,0.0473304822552047,-0.7355436682753832,0.2909812790332578,Medium
A027,3,participant,-0.1176646210052051,-0.1790378950689675,0.2142895416006808,-0.1176668298927856,0.0790207959077604,0.2142828130962727,Medium
A028,0,participant,0.0849707478494167,0.2099014672441204,0.589118978505813,0.0849208238241535,-0.2461290871670658,0.5890989262070885,High
A029,5,participant,1.7280789471912843,1.1605093994454203,1.7195902640622016,1.7280706769080805,-0.2557759952304573,1.7195746719393692,High
A030,0,participant,0.6742950022478035,0.6513556595505529,0.8035571267661966,0.6743222346147659,0.2202279329303078,0.8035729355822129,High
A031,3,participant,0.4888528558616387,-0.4938141397098422,-0.5331596602511642,0.4887908209208114,0.1650559799218767,-0.5331820216543688,Medium
A032,0,participant,1.226505131713195,0.7598646671568834,0.5403038168940242,1.2265782887608463,1.1823894113575195,0.5403309209930449,High
A033,0,participant,-0.086773052161673,0.2136391584030831,0.4481845587606622,-0.0867120517204766,0.4031838055883542,0.4481879363737119,High
A034,4,participant,0.8953028839892094,0.9374006734408952,1.4444844671777883,0.8952695930390477,-0.8977452766435183,1.4444704063254006,High
A035,2,participant,-0.4506510553136179,-0.4358645474198711,-0.3997740738140665,-0.4506443761373087,0.620900017789515,-0.3997790167763489,Low
A036,3,participant,-0.4678293558900837,0.1143017218924048,-0.3874130422740434,-0.4678557090666494,-0.5983713767797091,-0.387419886133889,Medium
A037,0,participant,1.1920953270159598,0.3029049470385584,0.5000082275176941,1.1920672324662558,-0.2278193690294723,0.4999944823155577,High
A038,0,participant,1.2529561749679794,-0.0477381435105022,0.6662479711884024,1.252970155826115,-0.1599562657304324,0.6662307562822465,High
A039,5,participant,1.7654176093053198,0.944560785178952,2.0591970818503444,1.765391265777717,0.5314491768067169,2.0592342961502514,High
A040,1,participant,-1.7173124789699796,-1.650222240045285,-1.3907405176828571,-1.7172558762868049,1.5711394150416955,-1.3907511073132608,Low
A041,0,participant,-0.0225401059567664,0.6542220554517898,0.7863454835847028,-0.0225282739088668,-0.3549356313964728,0.7863628550742522,High
A042,1,participant,-1.314559028137109,-1.878005090170888,-1.3733438059406762,-1.314536441864529,1.59603337795922,-1.373332691868183,Low
A043,0,participant,0.5144293559265203,-0.1826069641560684,-0.2311282380614513,0.514429446394151,0.8349858123306313,-0.2311251609815803,High
A044,2,participant,-0.716663816900458,-0.9285297587933906,-1.623929853669691,-0.7166747801985728,0.4670770863103794,-1.623917398980894,Low
A045,2,participant,-0.4930174014554063,-1.0332574997689836,-1.3663889255013706,-0.4929892274718917,0.6601036594510806,-1.3663700039670883,Low
A046,1,participant,-2.3605597121274786,-2.529657254747732,-1.917109764279456,-2.3605500875540164,2.3301792891317765,-1.9170930894717808,Low
A047,1,participant,-1.0461629470485754,-1.703234918529847,-1.3660986428192998,-1.0461900152168386,1.5064982803923848,-1.366100360944524,Low
A048,4,participant,0.3565010226932134,1.5897089200376848,0.7540532295543294,0.3565341900174263,-1.7598439692623846,0.7540522652444002,High
A049,4,participant,1.1218928948127016,1.5654818320224222,0.6179084306400979,1.1219184936221598,-0.4523409829103486,0.6179038446206089,High
A050,2,participant,-0.914666037605241,-1.322084437324984,-0.2085531314525394,-0.9146334535820536,1.2667081993291118,-0.208546980072186,Low
